gismu,gismu_shape,pos_tendency,gismu_new,gismu_new_shape,cmavo_rafsi_1,cmavo_rafsi_2,cmavo_rafsi_3,excluded,coef1_1,coef1_2,coef1_3,form_shape_1,form_shape_2,form_shape_3,rafsi_pos_1,rafsi_pos_2,rafsi_pos_3,rafsi_pos,gismu_sum,meaning,override,gismu_new_count
fasnu,CACCA,fin,nu,CA,nu,fau,,  ,100.0,3.4,0.0,CA,CAA,,45,125,,45 125 12345,21094,event,,1
cusku,CACCA,fin,sku,CCA,sku,cu'u,,  ,20.9,10.8,0.0,CCA,CAA,,342,125,,125 342 12345,9954,express,,1
dunli,CACCA,fin,du,CA,du,du'i,,du'u    dun,50.2,3.8,0.0,CA,CAA,,12,125,,12  125  12345,9852,equal,,1
sumti,CACCA,ini,sui,CAA,su'i,,,  sum,2.8,0.0,0.0,CAA,,,125,,,125 12345,8885,argument,,1
cabna,CACCA,ini,ca,CA,ca,cab,,  ,100.0,4.2,0.0,CA,CAC,,12,123,,12 123 12345,8755,now,,1
purci,CACCA,ini,pu,CA,pu,pru,,   pur,100.0,6.1,0.0,CA,CCA,,12,132,,12  132 12345,7120,past,,1
gismu,CACCA,ini,gim,CAC,gim,,,  gi'u,6.1,0.0,0.0,CAC,,,124,,,124  12345,6931,root word,,1
balvi,CACCA,ini,ba,CA,ba,bav,,  ba'a ,100.0,6.3,0.0,CA,CAC,,12,124,,12 124  12345,6885,future,,1
lujvo,CACCA,neut,jvo,CCA,jvo,,, ,20.6,0.0,0.0,CCA,,,345,,,345 12345,6250,affix compound,,1
valsi,CACCA,fin,vla,CCA,vla,va'i,,   val,100.0,5.6,0.0,CCA,CAA,,132,125,,125 132 12345,4348,word,,1
gasnu,CACCA,fin,gau,CAA,gau,,, ,100.0,0.0,0.0,CAA,,,125,,,125 12345,3753,do,,3
nanmu,CACCA,fin,nau,CAA,nau,,, ,4.3,0.0,0.0,CAA,,,125,,,125 12345,3743,man,,1
karbi,CACCA,ini,karb,CACC,,,,ku'i karbi kab,0.0,0.0,0.0,,,,,,,,3487,compare,,1
bangu,CACCA,fin,bau,CAA,bau,ban,,  ,100.0,3.1,0.0,CAA,CAC,,125,123,,123 125 12345,3474,language,,3
pensi,CACCA,neut,pes,CAC,pe'i,pei,,   pes,100.0,7.7,0.0,CAA,CAA,,125,125,,125 125 12345,3402,think,,3
remna,CACCA,ini,rem,CAC,rem,,,  re'a,3.3,0.0,0.0,CAC,,,123,,,123  12345,3395,human,,1
gerku,CACCA,ini,ger,CAC,ger,,,  ge'u,7.5,0.0,0.0,CAC,,,123,,,123  12345,3019,dog,,1
pilno,CACCA,fin,pli,CCA,pli,pi'o,,  ,44.7,24.4,0.0,CCA,CAA,,132,125,,125 132 12345,2987,use,,1
tavla,CACCA,fin,tal,CAC,ta'a,tav,,  ,21.3,2.6,0.0,CAA,CAC,,125,123,,123 125 12345,2928,talk,,2
kakne,CACCA,fin,kai,CAA,ka'e,,, ,100.0,0.0,0.0,CAA,,,125,,,125 12345,2903,able,,1
tanru,CACCA,neut,tau,CAA,tau,ta'u,,  ,8.8,3.9,0.0,CAA,CAA,,125,125,,125 125 12345,2897,phrase compound,,4
jetnu,CACCA,ini,jeu,CAA,je'u,jet,,jei   ,46.1,8.7,0.0,CAA,CAC,,125,123,,123 125  12345,2834,true,,1
sarji,CACCA,ini,sra,CCA,sra,,, ,2.6,0.0,0.0,CCA,,,132,,,132 12345,2532,support,,1
rafsi,CACCA,neut,rab,CAC,raf,,, ,2.1,0.0,0.0,CAC,,,123,,,123 12345,2481,affix,,3
mutce,CACCA,ini,tce,CCA,tce,,, ,53.0,0.0,0.0,CCA,,,345,,,345 12345,2422,much,,1
nenri,CACCA,ini,ner,CAC,ne'i,ner,,  ,94.1,38.1,0.0,CAA,CAC,,125,124,,124 125 12345,2213,in,,1
cukta,CACCA,fin,cku,CCA,cku,,, ,32.4,0.0,0.0,CCA,,,132,,,132 12345,2151,book,,1
rinka,CACCA,fin,ria,CAA,ri'a,,,  rik,100.0,0.0,0.0,CAA,,,125,,,125 12345,1981,cause,,1
since,CACCA,neut,sinc,CACC,,,, sinc,0.0,0.0,0.0,,,,,,,12345,1967,snake,,1
tanxe,CACCA,neut,tanx,CACC,,,, ta'e tax,0.0,0.0,0.0,,,,,,,12345,1878,box,,1
citka,CACCA,ini,cti,CCA,cti,,, ,10.9,0.0,0.0,CCA,,,132,,,132 12345,1851,eat,,1
mukti,CACCA,fin,mui,CAA,mu'i,,,  muk,100.0,0.0,0.0,CAA,,,125,,,125 12345,1833,motive,,2
nelci,CACCA,fin,nel,CAC,nei,,,  nel,31.3,0.0,0.0,CAA,,,125,,,125 12345,1797,fond,,1
xamgu,CACCA,ini,xau,CAA,xau,xag,,   va'u,48.3,13.0,0.0,CAA,CAC,,125,124,,124 125  12345,1770,good,,2
bapli,CACCA,neut,bai,CAA,bai,,,  bap,100.0,0.0,0.0,CAA,,,125,,,125 12345,1758,force,,3
