gismu,position,oblique
drata,2,other than
drata,3,otherness standard
drudi,1,roof
drudi,2,has roof: roofed
dugri,1,exponent: logarithm
dugri,2,antilogarithm
dugri,3,logarithm base
dukse,1,excess
dukse,2,in excess
dukse,3,excess standard
dukti,1,opposite
dukti,2,has as opposite
dukti,3,scale of opposites
dunda,1,donor: give
dunda,2,gift: present
dunda,3,recipient: beneficiary: receive gift
dunja,1,freeze
dunja,2,freezing point: freezing temperature
dunja,3,freezing pressure
dunku,1,anguished: anguish over
dunku,2,distressing: cause anguish
dunli,1,equal
dunli,2,equalled
dunli,3,equality property
dunra,1,winter
dunra,2,year of winter
dunra,3,winter location
dzena,1,elder
dzena,2,descendent: has ancestor
dzena,3,ancestral bond
dzipo,1,Antarctican
dzipo,2,Antarctican aspect
facki,1,discover
facki,2,discovery: discovered
facki,3,subject discovered
fadni,1,ordinary
fadni,2,ordinariness
fadni,3,set with typical
fagri,1,fire
fagri,2,fuel for fire: burning
fagri,3,air for fire
falnu,1,sail
falnu,2,fill sail: propellant [of sailing craft]
falnu,3,sailing craft
famti,1,aunt or uncle
famti,2,niece: nephew: has aunt or uncle
famti,3,avuncular bond
fancu,1,function
fancu,2,function domain
fancu,3,function range
fancu,4,function definition: equation
fange,1,alien
fange,2,alienness property: unfamiliar with
fange,3,perceive as alien
fanmo,1,end
fanmo,2,ended
fanri,1,factory
fanri,2,factory product
fanri,3,raw material for factory
fanta,1,prevent
fanta,2,circumvented: prevented
fanva,1,translator: translate
fanva,2,source text: translated
fanva,3,target language: translated into
fanva,4,source language: translated out of
fanva,5,translation
fanza,1,pest: pester: annoy
fanza,2,annoyed: bothered
fapro,1,oppose
fapro,2,opposed: opponent
fapro,3,in contention
farlu,1,fall
farlu,2,fallen to
farlu,3,fallen from
farlu,4,frame for fall
farna,1,direction
farna,2,direction to
farna,3,direction from
farvi,1,develop
farvi,2,developed
farvi,3,developed from
farvi,4,development stages
fasnu,1,event
fatci,1,fact
fatne,1,reverse
fatne,2,reversed
fatri,1,distributed
fatri,2,receive share
fatri,3,share: portion: allocation
febvi,1,boil
febvi,2,boiling point
febvi,3,boiling point pressure
femti,1,1.00E-15
femti,2,has 1E-15 part
femti,3,1E-15's dimension
fendi,1,divide
fendi,2,partitioned: divided
fendi,3,division: section
fendi,4,division method
fengu,1,angry
fengu,2,object of anger
fengu,3,reason for anger: infuriating
fenki,1,crazy
fenki,2,craziness standard
fenra,1,crack
fenra,2,cracked
fenso,1,sew
fenso,2,sewn
fenso,3,sewing tool
fenso,4,sewing thread
fepni,1,cent
fepni,2,worth [in cents]: number of cents
fepni,3,money system of cent
fepri,1,lung
fepri,2,has lung
ferti,1,fertile
ferti,2,fertility product: grows
festi,1,waste
festi,2,pollute: leave waste
fetsi,1,female
fetsi,2,female species
fetsi,3,female trait
figre,1,fig
figre,2,fig species
filso,1,Palestinian
filso,2,Palestinian aspect
finpe,1,fish
finpe,2,fish species
finti,1,inventor: invent
finti,2,creation: invented
finti,3,invention purpose
finti,4,inspiration: basis of invention
flalu,1,law
flalu,2,regulated [by law]: specified by law
flalu,3,community with law
flalu,4,conditions for law
flalu,5,legislature: legislate
flani,1,flute
flecu,1,flow
flecu,2,has flow
flecu,3,flow destination
flecu,4,flow source
fliba,1,fail
fliba,2,failed activity
flira,1,face
flira,2,has face
foldi,1,field
foldi,2,field material
fonmo,1,foam
fonmo,2,foam material
fonmo,3,material in foam bubble
fonxa,1,telephone
fonxa,2,telephone network
forca,1,fork
forca,2,fork purpose
forca,3,fork tine
forca,4,fork shaft
fraso,1,French
fraso,2,French aspect
frati,1,react
frati,2,response: reaction: stimulus
frati,3,stimulus [reacted to]: stimulate: evoke
frati,4,reaction conditions
fraxu,1,forgive
fraxu,2,forgiven
fraxu,3,matter forgiven
frica,1,differ
frica,2,differed from
frica,3,difference property
friko,1,African
friko,2,African aspect
frili,1,easy
frili,2,adept: find easy
frili,3,easiness conditions
frinu,1,fraction
frinu,2,numerator
frinu,3,denominator
friti,1,offer
friti,2,offered
friti,3,receive offer
friti,4,offer conditions
frumu,1,frown
fukpi,1,copy
fukpi,2,copied
fukpi,3,copy medium
fukpi,4,copying method
fulta,1,buoyant: float
fulta,2,floated in: buoy
funca,1,luck
funca,2,lucky: unlucky: has luck
fusra,1,rotten: rot
fusra,2,rotting agent
fuzme,1,responsible
fuzme,2,responsibility
fuzme,3,hold responsible
gacri,1,cover
gacri,2,covered
gadri,1,article
gadri,2,phrase with article
gadri,3,article language
gadri,4,article semantics
galfi,1,modify
galfi,2,changed: malleable: modified from
galfi,3,modified into
galtu,1,high
galtu,2,height reference
galtu,3,height standard
galxe,1,throat
galxe,2,has throat
ganlo,1,closed
ganlo,2,closed off: not accessible
ganlo,3,stopped by closure
ganra,1,broad
ganra,2,breadth dimension
ganra,3,breadth standard
ganse,1,perceive: sense
ganse,2,sensed
ganse,3,sense employed
ganse,4,sensing conditions
ganti,1,gonad
ganti,2,has gonad
ganti,3,gonad gender
ganxo,1,anus
ganxo,2,has anus
ganzu,1,organize
ganzu,2,not as organized
ganzu,3,organized
ganzu,4,organizing principle
gapci,1,gas
gapci,2,gas composition
gapci,3,gas conditions
gapru,1,above
gapru,2,below: has above
gapru,3,reference for above
garna,1,rail
garna,2,has rail
garna,3,rail material
gasnu,1,do
gasnu,2,caused: done
gasta,1,steel
gasta,2,steel composition
genja,1,root
genja,2,has root: rooted
gento,1,Argentinian
gento,2,Argentinian aspect
genxu,1,hook
genxu,2,hook material
gerku,1,dog
gerku,2,dog species
gerna,1,grammar
gerna,2,grammar language
gerna,3,grammatical
gidva,1,guide
gidva,2,guided: lead
gidva,3,guided activity
gigdo,1,1.00E+09
gigdo,2,in 1E9's
gigdo,3,1E9's dimension
ginka,1,camp
ginka,2,camper: stay in camp
ginka,3,campsite: camp location
girzu,1,group
girzu,2,group property
girzu,3,membership: group superset
girzu,4,roles: group relation
gismu,1,root word
gismu,2,root word relation
gismu,3,root word arguments
gismu,4,root word affix
glare,1,hot
glare,2,hot standard
gleki,1,happy
gleki,2,object of happiness: eudemonic
gletu,1,copulate
gletu,2,copulated with
glico,1,English
glico,2,English aspect
gluta,1,glove
gluta,2,glove material
gocti,1,1.00E-24
gocti,2,has 1E-24 part
gocti,3,1E-24's dimension
gotro,1,1.00E+24
gotro,2,in 1E24's
gotro,3,1E24's dimension
gradu,1,unit
gradu,2,unit standard: measure
gradu,3,measured by unit: dimension
grake,1,gram
grake,2,number of grams
grake,3,gram standard
grana,1,rod
grana,2,rod material
grasu,1,grease
grasu,2,grease source
greku,1,frame
greku,2,has frame
