gismu,position,oblique
radno,3,radian standard
rafsi,1,affix
rafsi,2,has affix
rafsi,3,affix form
rafsi,4,affix language
ragve,1,across
ragve,2,gap: boundary: separates: crossed
ragve,3,across from: beyond
rakso,1,Iraqi
rakso,2,Iraqi aspect
raktu,1,trouble
raktu,2,troubled
raktu,3,troubling result: trouble [n]
ralci,1,delicate
ralci,2,delicacy property
ralju,1,principal
ralju,2,has as principal: headed [by]: lead [by]
ralju,3,primacy property
ralte,1,retain
ralte,2,retained: kept
randa,1,yield
randa,2,yielded to
randa,3,yield conditions
rango,1,organ
rango,2,has organ
rango,3,organ function
ranji,1,continue
ranji,2,continuity interval: duration: scope
ranmi,1,myth
ranmi,2,myth subject: mythical
ranmi,3,mythos: mythology
ranmi,4,culture with myth
ransu,1,bronze
ransu,2,bronze composition
ranti,1,soft
ranti,2,molding force: molds: distorts: dents
ranti,3,softness conditions
ranxi,1,irony
ranxi,2,not expecting
ranxi,3,irony property
rapli,1,repeat
rapli,2,repeat count
rarna,1,natural
ratcu,1,rat
ratcu,2,rat species
ratni,1,atom
ratni,2,chemical element
ratni,3,isotope
rebla,1,tail
rebla,2,tailed
rectu,1,meat
rectu,2,meat source
remna,1,human
renro,1,throw
renro,2,thrown: projectile
renro,3,throwing direction
renvi,1,survivor: survive
renvi,2,endured: borne: ordeal: survived
renvi,3,survival time
respa,1,reptile
respa,2,reptile species
ricfu,1,rich
ricfu,2,riches
rigni,1,disgusting
rigni,2,disgusted: repulsed
rigni,3,disgust conditions
rijno,1,silver
rilti,1,rhythm
rilti,2,rhythmic
rimni,1,rhyme
rimni,2,rhymed with
rimni,3,rhyme language
rimni,4,rhyme scheme
rinci,1,material drained
rinci,2,drained liquid: drained from
rinci,3,strainer: drain
rinci,4,draining force
rinju,1,restrained
rinju,2,restraint: restrain
rinju,3,restrained against
rinka,1,cause
rinka,2,effect: result caused
rinka,3,causation conditions
rinsa,1,greet
rinsa,2,greeted
rinsa,3,greeting
rirci,1,rare
rirci,2,rarity property
rirci,3,rarity population
rirni,1,parent
rirni,2,raised: reared: ward
rirxe,1,river
rirxe,2,landmass with river
rirxe,3,watershed
rirxe,4,mouth [of a river]: fed by river
rismi,1,rice
rismi,2,rice species
risna,1,heart
risna,2,has heart
ritli,1,rite
ritli,2,rite purpose: governed by ritual: ceremonialized: ritualized
ritli,3,community with rite
ritli,4,ritual form
rivbi,1,avoid
rivbi,2,avoided
rivbi,3,avoidance
rokci,1,rock
rokci,2,rock type
rokci,3,rock location
romge,1,chrome
romge,2,chrome metal
ropno,1,European
ropno,2,European aspect
rorci,1,procreate: birthparent
rorci,2,engendered: offspring
rorci,3,coparent: mate
rotsu,1,thick
rotsu,2,thickness dimension
rotsu,3,thickness standard
rozgu,1,rose
rozgu,2,rose species
ruble,1,weak
ruble,2,weak point: weakness property
ruble,3,weakness standard
rufsu,1,rough
runme,1,melt
runme,2,melting point
runme,3,melting pressure
runta,1,dissolve
runta,2,solvent
runta,3,solution formed
runta,4,solution conditions
rupnu,1,dollar
rupnu,2,worth [in dollars]
rupnu,3,money system
rusko,1,Russian
rusko,2,Russian aspect
rutni,1,artifact
rutni,2,make artifact
sabji,1,provide: provider
sabji,2,provisions: supplied: supplies: provided
sabji,3,provided with: customer: user: supplied
sabnu,1,cabin
sabnu,2,vehicle with cabin
sacki,1,match
sacki,2,material [of match]
saclu,1,decimal: rational number
saclu,2,decimal fraction
saclu,3,decimal base
sadjo,1,Saudi
sadjo,2,Saudi aspect
sakci,1,suck: rarified
sakci,2,sucked to
sakci,3,sucked from
sakli,1,slide
sakli,2,slid on: slippery
sakta,1,sugar
sakta,2,sugar source
sakta,3,sugar composition
salci,1,celebrate
salci,2,celebrated
salci,3,celebration: party
salpo,1,sloped: slope
salpo,2,slope angle: slope
salpo,3,slope horizon
salta,1,salad
salta,2,salad ingredients
samcu,1,cassava
samcu,2,cassava species
sampu,1,simple
sampu,2,simplicity property
sance,1,sound
sance,2,emit sound: sounds: makes noise
sanga,1,singer: sing
sanga,2,song: sung
sanga,3,hear song
sanji,1,conscious
sanji,2,noticed: object of consciousness
sanli,1,stand
sanli,2,surface stood on
sanli,3,limb stood with
sanmi,1,meal
sanmi,2,meal dish
sanso,1,sauce
sanso,2,with sauce
sanso,3,sauce ingredient
santa,1,umbrella
santa,2,shaded by umbrella: shielded
santa,3,shaded from
santa,4,umbrella material
santa,5,support umbrella
sarcu,1,necessary: requirement
sarcu,2,requires: contingent: depend: necessitating
sarcu,3,necessity conditions
sarji,1,support
sarji,2,supported
sarji,3,supported against
sarji,4,support means
sarlu,1,helix: spiral
sarlu,2,spiral limits
sarlu,3,spiral dimension
sarxe,1,harmonious: complement
sarxe,2,harmonized with: complemented
sarxe,3,harmony property
saske,1,science
saske,2,science subject
saske,3,science methodology
satci,1,exact
satci,2,precision
satci,3,exactness property
satre,1,stroke: rub
satre,2,stroked: rubbed
satre,3,stroked with
savru,1,noise
savru,2,receive noise
savru,3,noise channel
sazri,1,operate
sazri,2,operated
sazri,3,operating goal: machine
sefta,1,surface
sefta,2,has surface
sefta,3,surface side
sefta,4,surface bounds
selci,1,cell
selci,2,has cell
selfu,1,serve
selfu,2,served
selfu,3,service
semto,1,Semitic
semto,2,Semitic aspect
senci,1,sneeze
senpi,1,doubt
senpi,2,doubted
senta,1,layer
senta,2,layered material
senta,3,layered structure
senva,1,dreamer: dream
senva,2,dream subject: dreamt: dream [n]
sepli,1,apart
sepli,2,separated from
sepli,3,separator: separate [v]: between
serti,1,stairs
serti,2,with stairs
serti,3,stair steps: steps
setca,1,insert
setca,2,inserted
setca,3,inserted into
sevzi,1,self
sevzi,2,self of
sfani,1,fly
sfani,2,fly species
sfasa,1,punish
sfasa,2,punished
sfasa,3,punished for: punishable offense
sfasa,4,punishment
sfofa,1,sofa
sfubu,1,dive
sfubu,2,dived to
sfubu,3,dived from
siclu,1,whistle [v]
siclu,2,whistling sound: whistle [n]
sicni,1,coin
sicni,2,issue coin
sicni,3,coin value
sidbo,1,idea
sidbo,2,idea subject
sidbo,3,has idea: think: thinker
sidju,1,help: helper: aide
sidju,2,helped
sidju,3,helped to do
sigja,1,cigar
sigja,2,cigar material
sigja,3,cigar maker
silka,1,silk
silka,2,silk source
silna,1,salt
silna,2,salt source
silna,3,salt composition
simlu,1,seem
simlu,2,apparent property: appearance
simlu,3,apparently observe
simlu,4,seeming conditions
simsa,1,similar
simsa,2,resembled by
simsa,3,similarity property
simxu,1,mutual: reciprocate
simxu,2,done mutually: reciprocal
since,1,snake
since,2,snake species
sinma,1,esteem
sinma,2,esteemed: respected: venerated
sinso,1,sine
sinso,2,arcsine: angle
sinxa,1,sign
sinxa,2,symbolized: represented: referent: signified
sinxa,3,observe sign
sipna,1,sleep
sirji,1,straight
sirji,2,straight start
sirji,3,end of straight
sirxo,1,Syrian
sirxo,2,Syrian aspect
sisku,1,seek
sisku,2,property sought
sisku,3,set sought in
sisti,1,cease: stop
sisti,2,stopped
sitna,1,cite: quote
sitna,2,cited: quoted: source
sitna,3,cited information
sivni,1,private
sivni,2,keep private: in on: confidant
skaci,1,skirt
skaci,2,skirt material
skami,1,computer
skami,2,computer purpose
skapi,1,pelt
skapi,2,has pelt
skari,1,colored
skari,2,color of: hue
skari,3,perceive color
skari,4,color conditions
skicu,1,describe
skicu,2,described
skicu,3,described to: audience
skicu,4,description
skiji,1,ski
skiji,2,skiing surface
skiji,3,skier: skater
skina,1,cinema
skina,2,film subject: genre: plot [of film]
skina,3,filmmaker: film [v]
skina,4,cinema audience
skori,1,cord
skori,2,cord material
skoto,1,Scottish
skoto,2,Scottish aspect
skuro,1,groove
skuro,2,grooved
slabu,1,familiar: aquaintance
slabu,2,finds familiar: know: familiar with: aquainted with
slabu,3,familiar feature
slabu,4,familiarity standard
slaka,1,syllable
slaka,2,syllable language
slami,1,acid
slami,2,acid composition
slanu,1,cylinder
slanu,2,cylinder material
slari,1,sour
slari,2,find sour
slasi,1,plastic
slasi,2,plastic monomer
sligu,1,solid
sligu,2,solid composition
sligu,3,solidity conditions
slilu,1,oscillate
slilu,2,oscillation frequency
slilu,3,oscillation state
sliri,1,sulfur
slovo,1,Slavic
slovo,2,Slavic aspect
sluji,1,muscle
sluji,2,controled by muscle
sluji,3,muscular
sluni,1,onion
sluni,2,onion species
smacu,1,mouse
smacu,2,mouse species
smadi,1,guess
smadi,2,guessed: guess [n]
smadi,3,guess subject
smaji,1,quiet
smaji,2,find quiet
smaji,3,quietness standard
smani,1,monkey
smani,2,monkey species
smoka,1,sock
smoka,2,sock material
smuci,1,spoon
smuci,2,done with spoon
smuci,3,spoon material
smuni,1,meaning
smuni,2,has meaning: means: implies
smuni,3,perceive meaning: infers
snada,1,succeed
snada,2,achievement: success
snada,3,means to success: tried
snanu,1,south
snanu,2,has to the south: north
snanu,3,frame for south
snidu,1,second
snidu,2,duration [in seconds]: quantity in seconds
snidu,3,second standard
snime,1,snow
snipa,1,sticky
snipa,2,stuck
snuji,1,sandwich
snuji,2,sandwiched: sandwich filling
snuji,3,sandwich outside
snura,1,secure
snura,2,secured against
snuti,1,accidental
snuti,2,"not intend: slips up: ""oops""-es"
sobde,1,soya
sobde,2,soya species
sodna,1,sodium
sodna,2,alkali type metal
sodva,1,soda
sodva,2,soda flavor
softo,1,Soviet
softo,2,Soviet aspect
solji,1,gold
solri,1,solar
solri,2,planet with sun
solri,3,inhabitant under sun
sombo,1,sow
sombo,2,sown: planted
sombo,3,sown in
sonci,1,soldier
sonci,2,soldier's army
sorcu,1,store: hoard
sorcu,2,stored
sorcu,3,storehouse: container for stores
sorcu,4,store location
sorgu,1,sorghum
sorgu,2,sorghum species
sovda,1,egg
sovda,2,ovulate
spaji,1,surprise
spaji,2,surprised: startled
spali,1,polish
spali,2,polished surface
spali,3,polishing material
spali,4,polishing tool
spano,1,Spanish
spano,2,Spanish aspect
spati,1,plant
spati,2,plant species
speni,1,married
speni,2,married to: bespoused
spisa,1,piece
spisa,2,has piece
spita,1,hospital
spita,2,hospital patient
spita,3,medical condition: hospital specialty
spofu,1,broken
spofu,2,inoperative function
spoja,1,explode
spoja,2,explosion result
spuda,1,respond: reply
spuda,2,stimulus: replied to
spuda,3,response
sputu,1,spit
sputu,2,spat out: spit [n]
sputu,3,spat from
sputu,4,spat to
sraji,1,vertical
sraji,2,frame for verticality
sraku,1,scratch
sraku,2,scratched
sralo,1,Australian
sralo,2,Australian aspect
srana,1,pertain
srana,2,pertained to
srasu,1,grass
srasu,2,grass species
srera,1,err
srera,2,mistake
srera,3,error conditions
srera,4,error standard
srito,1,Sanskrit
srito,2,Sanskrit aspect
sruma,1,assume
sruma,2,assumed: assumption: theoretical
sruma,3,assumption subject
sruri,1,surround
sruri,2,surrounded: enclosed
sruri,3,direction surrounded
stace,1,honest
stace,2,receive honesty
stace,3,honesty subject
stagi,1,vegetable
stagi,2,plant edible part
stagi,3,edible plant
staku,1,ceramic
staku,2,make ceramic
staku,3,ceramic composition
staku,4,ceramic form
stali,1,remain
stali,2,remained at: retain
stani,1,stalk
stani,2,has stalk
stapa,1,step
stapa,2,surface stepped on: tread: pedal
stapa,3,stepping limb
stasu,1,soup
stasu,2,soup ingredient
stati,1,talented: talent
stati,2,done with talent: talent: skill
steba,1,frustration
steba,2,object of frustration: frustrating: frustrate
steci,1,specific
steci,2,special subset: specified
steci,3,set with specific: non-specific many
stedu,1,head
stedu,2,has head
stela,1,lock
stela,2,locked
stela,3,lock mechanism
stero,1,steradian
stero,2,quantity in steradians
stero,3,steradian standard
stici,1,west
stici,2,has to the west: east
stici,3,frame for west
stidi,1,suggest
stidi,2,suggestion: proposal: suggested
stidi,3,receive suggestion: suggested to
stika,1,adjust
stika,2,adjusted: tuned
stika,3,adjustment amount
stizu,1,chair
stodi,1,constant [adj]: stable
stodi,2,constant property
stodi,3,constancy conditions
stuna,1,east
stuna,2,has to the east: west
stuna,3,frame for east
stura,1,structure
stura,2,structured: organized
stuzi,1,site
stuzi,2,sited: located: situated
sucta,1,abstract
sucta,2,abstract source
sucta,3,abstraction rules
sudga,1,dry
sudga,2,liquid dried
sufti,1,hoof
sufti,2,hoofed
suksa,1,sudden
suksa,2,sudden change locus: discontinuity: turning point
suksa,3,with sudden change
sumji,1,sum
sumji,2,1st summand: addend: added
sumji,3,2nd summand: addend: added
sumne,1,smell
sumne,2,smelly: odor: smell [n]: smelled
sumti,1,argument
sumti,2,predicate with argument
sumti,3,argument place: role: argument relation
sunga,1,garlic
sunga,2,garlic species
sunla,1,wool
sunla,2,woolly animal
surla,1,relax
surla,2,recreation: relaxing activity
sutra,1,fast
sutra,2,done fast: quickly done
tabno,1,carbon
tabra,1,trumpet
tadji,1,method
tadji,2,done by method: planned: algorithmic
tadji,3,method conditions
tadni,1,study
tadni,2,studied: subject [of study]
tagji,1,snug
tagji,2,has snugly: pinched: hugged
tagji,3,snugness dimension
tagji,4,snugness locus
talsa,1,challenge
talsa,2,challenged
talsa,3,challenge property
tamca,1,tomato
tamca,2,tomato species
tamji,1,thumb
tamji,2,limb with thumb
tamji,3,has thumb
tamne,1,cousin: kin
tamne,2,has cousin: cousin: kin
tamne,3,cousin bond
tanbo,1,board
tanbo,2,board material
tance,1,tongue
tance,2,has tongue: tongued
tanjo,1,tangent
tanjo,2,arctangent: angle
tanko,1,tobacco
tanko,2,tobacco species
tanru,1,phrase compound
tanru,2,phrase modifier: modifier
tanru,3,phrase modificand: modified
tanru,4,phrase meaning: tanru meaning
tanru,5,phrase language
tansi,1,pan
tansi,2,pan contents
tansi,3,pan material
tanxe,1,box
tanxe,2,box contents: boxed: crated
tanxe,3,box material
tapla,1,tile
tapla,2,tile material
tarbi,1,embryo
tarbi,2,embryo mother: mother: pregnant: birthmother
tarbi,3,embryo father
tarci,1,star
tarci,2,star properties: stellar property
tarla,1,tar
tarla,2,tar source
tarmi,1,shape
tarmi,2,shaped
tarti,1,behave
tarti,2,behavior
tarti,3,behavior conditions
taske,1,thirst
taske,2,object of thirst: thirsted for
tatpi,1,tired
tatpi,2,tiring: fatiguing
tatru,1,breast
tatru,2,has breast
tavla,1,talk
tavla,2,talked to: addressed
tavla,3,talk subject: subject [of talk]
tavla,4,talk language: spoken language
taxfu,1,garment
taxfu,2,wears garment: wear
taxfu,3,garment purpose
tcaci,1,custom
tcaci,2,acccustomed
tcaci,3,custom conditions
tcadu,1,city
tcadu,2,city extent
tcadu,3,polity with city
tcadu,4,city hinterland
tcana,1,station
tcana,2,system with station
tcati,1,tea
tcati,2,tea leaves
tcena,1,stretch
tcena,2,extent: reach: stretched range
tcena,3,stretch dimension
tcena,4,unstretched range
tcica,1,deceive
tcica,2,deceived: fooled: gullible: dupe
tcica,3,deception subject
tcica,4,deception
tcidu,1,read
tcidu,2,readable: text
tcidu,3,read from: document
tcika,1,time of day
tcika,2,timed at
tcika,3,day of time
tcika,4,time location
tcila,1,detail
tcila,2,detailed: big picture
tcima,1,weather
tcima,2,weather location
tcini,1,situation
tcini,2,in situation
tcita,1,label
tcita,2,labeled
tcita,3,label information: legend: inscription
temci,1,time interval: time: duration
temci,2,start time
temci,3,end time
tenfa,1,exponential
tenfa,2,exponential base
tenfa,3,exponent: power: logarithm
tengu,1,texture
tengu,2,textured
terdi,1,earth
terdi,2,planet inhabitant: terrestrial
terpa,1,fear
terpa,2,feared: phobia
terto,1,1.00E+12
terto,2,quantity in 1E12's
terto,3,1E12's dimension
tigni,1,perform
tigni,2,performance: exhibition: performed
tigni,3,performance audience
tikpa,1,kick
tikpa,2,kicked
tikpa,3,kicked locus: kicked
tilju,1,heavy
tilju,2,heaviness standard
tinbe,1,obey
tinbe,2,obeyed: observed
tinbe,3,commander obeyed
tinci,1,tin
tinsa,1,stiff
tinsa,2,stiffness direction
tinsa,3,meeting stiffness: resisted
tinsa,4,stiffness conditions
tirna,1,hear
tirna,2,heard: noise: sound
tirna,3,ambient background: noise heard against: background noise
tirse,1,iron
tirxu,1,tiger
tirxu,2,tiger species
tirxu,3,tiger markings
tisna,1,fill: stuffed
tisna,2,filled: stuffing
tisna,3,filling material
titla,1,sweet
titla,2,find sweet
tivni,1,television
tivni,2,television program
tivni,3,television channel
tivni,4,television receiver
tixnu,1,daughter
tixnu,2,daughter's parent: mother: father
toknu,1,oven
toknu,2,cooked in oven: baked: baked goods
toldi,1,butterfly
toldi,2,butterfly species
tonga,1,tone
tonga,2,pitch: tone frequency
tonga,3,tone source: sound [v]
tordu,1,short
tordu,2,shortness dimension: length
tordu,3,shortness standard
torni,1,twist
torni,2,"torque, twisting force"
traji,1,superlative
traji,2,superlative property
traji,3,which extreme: extreme [n]
traji,4,range limited by extreme: universe
trano,1,nitrogen
trati,1,taut
trati,2,tautness direction
trene,1,train
trene,2,train car
trene,3,train system: railroad
tricu,1,tree
tricu,2,tree species
trina,1,attract
trina,2,attracted: lured
trina,3,attracting property: alluring: attractive
trixe,1,behind
trixe,2,in front: precede: trailed: has behind
trixe,3,frame for behind
troci,1,try
troci,2,attempted: tried
troci,3,trying method
tsali,1,strong
tsali,2,strength property: forte
tsali,3,strength standard
tsani,1,sky
tsani,2,with sky
tsapi,1,seasoning
tsapi,2,seasoning effect: flavor
tsiju,1,seed
tsiju,2,organism with seed: seed-bearing
tsiju,3,seed offspring
tsina,1,stage
tsina,2,has stage
tsina,3,on stage
tsina,4,stage material
tubnu,1,tube
tubnu,2,tube material
tubnu,3,tube filling
tugni,1,agree
tugni,2,agreed with
tugni,3,agreement: agreed upon: agreed that
tugni,4,agreed about
tujli,1,tulip
tujli,2,tulip species
tumla,1,land
tumla,2,land location
tunba,1,sibling
tunba,2,has sibling: sibling
tunba,3,sibling bond
tunka,1,copper
tunlo,1,swallow
tunlo,2,swallowed
tunta,1,poke
tunta,2,poked: prodded
tunta,3,poked with
tuple,1,leg
tuple,2,"has leg: legged, belegged"
turni,1,govern
turni,2,governed
tutci,1,tool
tutci,2,done with tool
tutra,1,territory
tutra,2,controls territory: landlord: land owner
vacri,1,air
vacri,2,planet with air
vacri,3,air composition
vajni,1,important
vajni,2,finds important: impacted
vajni,3,reason for importance
valsi,1,word
valsi,2,word meaning
valsi,3,word language
vamji,1,value
vamji,2,valued
vamji,3,valued by: appraise
vamji,4,valued for
vamtu,1,vomit
vamtu,2,vomited: vomit [n]
vanbi,1,environment
vanbi,2,has environment
vanci,1,evening
vanci,2,day of evening
vanci,3,evening location
vanju,1,wine
vanju,2,wine fruit: wine grapes
vasru,1,contain
vasru,2,contents: contained
vasxu,1,breathe
vasxu,2,breathed
vecnu,1,sell: seller
vecnu,2,goods: sold
vecnu,3,buyer: sold to
vecnu,4,sale cost: price
venfu,1,revenge
venfu,2,revenged against
venfu,3,revenged for: avenged
venfu,4,revenged by: vengeance
vensa,1,spring
vensa,2,year of spring
vensa,3,spring location
verba,1,child
verba,2,child's age
verba,3,child standard
vibna,1,vagina
vibna,2,has vagina
vidni,1,video
vidni,2,video function
vidru,1,virus
vidru,2,virus property
vidru,3,virus locus
vifne,1,fresh
vikmi,1,excrete
vikmi,2,excreted: excretion
vikmi,3,excreted from
vikmi,4,excretion means: excretory system
viknu,1,viscous
viknu,2,viscosity conditions
vimcu,1,remove
vimcu,2,removed: deduction: subtrahend
vimcu,3,removed from: minuend
vimcu,4,remainder: difference
vindu,1,poison
vindu,2,finds poisonous
vinji,1,airplane
vinji,2,plane cargo: flies by airplane: flown
vinji,3,plane propelling method
vipsi,1,deputy
vipsi,2,matter deputed: hierarchy: hierarchic
vipsi,3,boss: superior: supervisor: has deputy
virnu,1,brave
virnu,2,brave activity: braved
virnu,3,brave standard
viska,1,see
viska,2,seen: visible
viska,3,seeing conditions
vitci,1,irregular
vitci,2,irregularity
vitke,1,guest: visit: visitor
vitke,2,has guest: host: visited
vitke,3,guest place: visited
vitno,1,permanent
vitno,2,permanence property
vitno,3,permanence standard
vlagi,1,vulva
vlagi,2,has vulva
vlile,1,violent
vlina,1,alternation: disjunction
vlina,2,1st alternative
vlina,3,2nd alternative
vlipa,1,powerful
vlipa,2,within the power of
vlipa,3,power conditions
vofli,1,flight
vofli,2,flight means
voksa,1,voice
voksa,2,has voice
vorme,1,door
vorme,2,accessible: open [onto]: 1st space with door
vorme,3,accessible: open [onto]: 2nd space with door
vorme,4,structure with door
vraga,1,lever
vraga,2,function with lever
vraga,3,lever fulcrum
vraga,4,lever arm
vreji,1,record
vreji,2,recorded
vreji,3,recording medium
vreta,1,reclining
vreta,2,reclined on
vrici,1,miscellaneous
vrici,2,varied property
vrude,1,virtue
vrude,2,virtue standard
vrusi,1,taste
vrusi,2,flavored
vukro,1,Ukrainian
vukro,2,Ukrainian aspect
xabju,1,dwell
xabju,2,habitat: dwelling
xadba,1,half
xadba,2,halved
xadba,3,halfness standard
xadni,1,body
xadni,2,has body: embodied
xagji,1,hunger
xagji,2,object of hunger
xagri,1,reed instrument
xagri,2,reed
xajmi,1,funny
xajmi,2,finds funny: amused: tickled
xajmi,3,funniness property
xaksu,1,use up
xaksu,2,used up: consumed
xalbo,1,levity
xalbo,2,object of levity: treated lightly
xalka,1,alcohol
xalka,2,alcohol type
xalka,3,alcohol source
xalni,1,panic
xalni,2,object of panic
xamgu,1,good
xamgu,2,find good: beneficiary
xamgu,3,goodness standard
xampo,1,ampere
xampo,2,current in amperes: amount in amperes
xampo,3,ampere standard
xamsi,1,sea
xamsi,2,planet with sea
xamsi,3,sea fluid
xance,1,hand
xance,2,has hand
xanka,1,nervous
xanka,2,object of nervousness: unnerving
xanka,3,nervousness condition
xanri,1,imaginary
xanri,2,imagine
xanto,1,elephant
xanto,2,elephant species
xarci,1,weapon
xarci,2,threatened by weapon: attacked [with weapon]
xarci,3,use weapon: armed
xarju,1,pig
xarju,2,pig species
xarnu,1,stubborn
xarnu,2,object of stubbornness: non-negotiable: resisted
xasli,1,donkey
xasli,2,donkey species
xasne,1,sweat
xasne,2,body sweating: sweat [v]
xasne,3,sweat gland
xatra,1,letter
xatra,2,letter addressee
xatra,3,letter author: letter-writer
xatra,4,letter content
xatsi,1,1.00E-18
xatsi,2,quantity in 1E-18's
xatsi,3,1E-18's dimension
xazdo,1,Asiatic
xazdo,2,Asiatic aspect
xebni,1,hate
xebni,2,hated: hateful
xebro,1,Hebrew
xebro,2,Hebrew aspect
xecto,1,100
xecto,2,quantity in 100's
xecto,3,100's dimension
xedja,1,jaw
xedja,2,has jaw
xekri,1,black
xelso,1,Greek
xelso,2,Greek aspect
xendo,1,kind
xendo,2,object of kindness
xendo,3,kind behavior
xenru,1,regret
xenru,2,regrettable: regretful: a shame
xexso,1,1.00E+18
xexso,2,quantity in 1E18's
xexso,3,1E18's dimension
xindo,1,Hindi
xindo,2,Hindi aspect
xinmo,1,ink
xinmo,2,ink color
xinmo,3,pen using ink
xirma,1,horse
xirma,2,horse species
xislu,1,wheel
xislu,2,wheeled vehicle
xislu,3,wheel properties: wheeel material
xispo,1,Hispanic
xispo,2,Hispanic aspect
xlali,1,bad
xlali,2,find bad: harmed
xlali,3,badness standard
xlura,1,influence
xlura,2,influenced: gullible: enticed
xlura,3,influenced action
xlura,4,influence: threat: lure: influencing action
xotli,1,hotel
xotli,2,hotel location
xotli,3,innkeeper: hosteler: operate hotel
xrabo,1,Arabic
xrabo,2,Arabic aspect
xrani,1,injure
xrani,2,injured: damaged
xrani,3,injury property
xrani,4,injury: damage
xriso,1,Christian
xriso,2,Christian aspect
xruba,1,buckwheat
xruba,2,buckwheat species
xruki,1,turkey
xruki,2,turkey species
xrula,1,flower
xrula,2,flowering plant: flower [v]
xruti,1,return
xruti,2,returned
xruti,3,state returned to
xruti,4,state returned from
xukmi,1,chemical
xukmi,2,kind of chemical
xukmi,3,chemical purity
xunre,1,red
xurdo,1,Urdi
xurdo,2,Urdi aspect
xusra,1,assert
xusra,2,asserted: assertion
xutla,1,smooth
zabna,1,favorable
zabna,2,favored: commended: eulogized
zabna,3,favor: eulogize
zajba,1,gymnast
zajba,2,gymnastic feat
zalvi,1,grind
zalvi,2,pulverized: crushed: ground: powdered
zalvi,3,ground powder: grounds: powder
zanru,1,approve
zanru,2,approved
zarci,1,market
zarci,2,wares: sold at market
zarci,3,marketeer
zargu,1,buttock
zargu,2,has buttock
zasni,1,temporary
zasni,2,transience property: transient
zasni,3,transience standard
zasti,1,exist
zasti,2,hold as existent
zasti,3,existence epistemology
zbabu,1,soap
zbabu,2,soap source
zbabu,3,soap composition
zbani,1,bay
zbani,2,coast with bay
zbasu,1,make
zbasu,2,made: created: product: creation
zbasu,3,made from: raw material
zbepi,1,pedestal
zbepi,2,has pedestal
zbepi,3,pedestal material
zdani,1,nest
zdani,2,inhabit: inhabitant: dweller: dwell
zdile,1,amusing
zdile,2,amused
zdile,3,amusing property
zekri,1,crime
zekri,2,hold as crime
zenba,1,increase
zenba,2,increase property
zenba,3,increase amount: increase [n]
zepti,1,1.00E-21
zepti,2,quantity in 1E-21's
zepti,3,1E-21's dimension
zetro,1,1.00E+21
zetro,2,quantity in 1E21's
zetro,3,1E21's dimension
zgana,1,observe
zgana,2,observed: noted: detected
zgana,3,observing sense
zgana,4,observing conditions
zgike,1,music
zgike,2,produce music: perform music
zifre,1,free
zifre,2,freedom: unproscribed: freely done
zifre,3,freedom conditions
zinki,1,zinc
zirpu,1,purple
zivle,1,investor: invest
zivle,2,resources invested: capital
zivle,3,investment
zivle,4,investment return: profit
zmadu,1,more
zmadu,2,exceeded: undercut [v]: less
zmadu,3,moreness property
zmadu,4,moreness margin: difference
zmiku,1,automatic
zmiku,2,automatic function
zmiku,3,automaticity condition
zukte,1,act
zukte,2,action: means
zukte,3,action goal
zumri,1,maize
zumri,2,maize species
zungi,1,guilt
zungi,2,object of guilt: cause remorse: guilt-inducing
zunle,1,left
zunle,2,has to the left: right
zunle,3,frame for left
zunti,1,interfere: hindrance
zunti,2,hindered: interfered with
zunti,3,interfering quality
zutse,1,sit
zutse,2,sat on
zvati,1,at
zvati,2,location attended
