lujvo,meaning
rekybo'u,spine､ emphasizing frame support aspect
relba'eka'a,scissors
relcimdyna'u,complex number
relcinglepre,bisexual
relcinpampre,bisexual
relcte,Tuesday night [nighttime]
pavycte,Monday night [nighttime]
cibycte,Wednesday night [nighttime]
voncte,Thurday night [nighttime]
mumcte,Friday night [nighttime]
xavycte,Saturday night [nighttime]
noncte,Sunday night [nighttime]
zelcte,Sunday night [nighttime]
reldo'i,Tuesday daytime
pavdo'i,Monday daytime
cibdo'i,Wednesday daytime
vondo'i,Thurday daytime
mumdo'i,Friday daytime
xavdo'i,Saturday daytime
nondo'i,Sunday daytime
zeldo'i,Sunday daytime
relvanbi,Tuesday evening
pavyvanbi,Monday evening
cibvanbi,Wednesday evening
vonvanbi,Thurday evening
mumvanbi,Friday evening
xavyvanbi,Saturday evening
nonvanbi,Sunday evening
zelvanbi,Sunday evening
relpi'i,double
velrelprevelma'e,tandem bicycle
relpru,second-last [in time]
relpruda'i,with two upbeats､ drag stroke
relselba'e,scissors
relselcalku,bivalves [animals]
relseljimca,two-branched; binary [of trees as data structures]
relselmla,two-sided [mirror]
relselxi'u,two-wheeled
relskosa'e,double stop in string instruments
relteryrau,secondary [e.g. second cousins]
relxagri,double reed
relxilma'e,bicycle､ motorbike
rembau,human language
rembi'o,to be incarnated
remdja,food for humans
remgri,group of people
remska,colour of human skin [ref. to ”race”]
remskapi,[human] skin
remso'a,human ovum
remtai,human-like [in shape]; a figure
remtsi,human sperm
remyma'utei,generation
renkla,to go by train
rerce'a,slingshot
resycrida,dragon
reisku,to ask a question
reispu,to answer a question
reirsisku,to run a poll; more generally､ to seek a truth through questions
re'icla,old､ having been through a lot､ enduring､ ancient
ri'emla,banks [of river]
ri'erkrajinto,source of a river
ri'irdzuzgibe'e,marching band
ri'irju'a,slogan
ri'irti'i,to formally propose
ri'ixra,logo､ emblem
ri'ortcati,green tea
ri'urtulsru,to engulf; to swamp
ricfoi,forest
ricpurdi,orchard
ricyci'e,forest as ecology
ricycrida,dryad
ricyratcu,squirrel
ricyselsru,to be surrounded by trees
ridrirni,fairy godparent
rijyska,silvery
rijysmi,silvery [i.e. not quite silver-coloured]
rikygei,cheered up
rindatni,evidence
ringei,justifiably happy
rirbu'a,uncle
rirme'i,aunt
riryriryrirni,great grandparent
risnyjelca,burning a heart [not heartburn]
ritkemna'aterjvi,British annual/year-long competition [e.g. FA Cup]
ri'irme'a,less formal
ritna'aterjvi,British annual/year-long competition [e.g. FA Cup]
ritnai,Britain (the nation)
ritpre,Briton､ British person
ritybartu,outside the UK
ritygu'e,Britain [the country]
rityjbo,British Lojbanist
rivli'a,to run away from
rokcmaplini,asteroid
rokspi,piece of stone､ pebble
rolbaukai,universal [of grammar､ etc.]
roldei,daily
rolgu'e,world [e.g. world war]
rolcte,each night
rolpre,”catholic” [ = for all people]､ universal
rolre'azda,world
rolsliparbi,white [of noise]
rolstu,world
roltei,”world without end”､ forever
rolterdi,worldwide
rolterslidi'e,radiating white noise
roltru,all-ruling [e.g. of God]
rolzda,World
ruxpre,spirit
rulpezli,flower petals
rulpurdi,flower garden
rulzda,flower-bed
rumpe'a,to melt all over something
rumro'i,lava
runbau,artificial language
runge'a,invented grammar
rutpesxu,marmelade
rutpurdi,orchard､ place of growing fruit
rutyjdu,marmelade
rutyve'u,greengrocer
ruxse'i,soul [spiritual self]
ruxyzau,bless
sa'erjgita,bowed string instrument
sa'irlai,portion of food
sa'orkurfa,rhombus
sa'unri'a,to make something necessary
sa'urmi'e,to insist
sadrai,most successful
sadyda'a,defeat [fight succesfully]
sagbarja,cabaret
sagdraci,opera､ musical
sa'asku,to chant something
saisla,banquet､ picnic
sakcpu,to suck something
sakygau,to suck (agentive)
sakselylu'i,vacuumed [of clothes]
sakto'a,smack tone of wind instrument
salsiltci,slide whistle
saltu'u,slide [e.g. trombone､ mechanics]
sakmuvgau,to suck something
sakyva'u,inhale
slafagri,bonfire
sa'ordziselfa'a,steep [downwards]
samci'a,computer-write､ word-process
samci'eta'a,to talk on the computer net
samjudri,e-mail address
samki'o,K [2**10] [e.g. Kbytes; kilobytes]
sampei,computer as thinker､ Artificial Intelligence
sampla,programmer
selsampla,program
sample,computer paper
saprai,simplest
samralsle,computer register
samru'e,computer program [currently executing; process]
samse'u,computer server
samselpla,computer program [not necessarily executing; source code]
samske,computer science
samsnuci'e,electronic news [mail､ talk]
samsroka'u,byte [word?]
samsrorau,byte [word?]
samsrosle,byte [word?]
samstu,computer site､ computer room
samtadji,computer implementation
samtermi'e,command line､ computer instruction
samvidni,computer screen
samgi'o,Gig [2**30] [e.g. Gigabytes]
samymegdo,Meg [2**20] [e.g. Megabytes]
samymidnoi,computer program
samymri,e-mail
samyzva,to be logged on to a computer
sange'u,spaniel
sajbi'o,to become aware of､ to become conscious
sajri'a,to make aware of (e.g. ”there are other ways to determine...” translated as ”there are other ways for one to be made aware of this”)
sankrabau,Castillian Spanish､ the standard language/dialect of Spain
sankragu'e,pertaining to Spain [or Castille?] (A problematic coining)
santyse'u,squire; slave holding umbrella over master
saptciklu,primitive
sarlyja'i,scroll as ornament
sasfoi,lawn
saspurdi,tended lawn
sastu'a,steppe､ grassland
satcymau,more exact
satcyri'a,to make something precise
satcyski,define､ describe exactly
saurckusro,[book] archive
saurdai,old objects､ [antiques]
saurgu'e,old country
saursutsabdja,stale fast-food
vrule'u,consonant (non-phonetic)
vruri'a,to make noise
sazvanbi,operating system
sazycau,automatic､ without needing an operator
sazyci'e,operating system
sazysti,to turn off [e.g. computer､ machine､ light]
sazytcila,features [of a program]
se'isku,self-express
se'isni,signature
se'ixru,to return (intr.)
se'izga,self-observing
sedbo'u,skull
sedja'o,showing heads [as in coin､ heads-or-tails]
sedycro,headache
sedykre,hair on the head
sedyterjo'e,head joint
seicni,lonely
selbadydji,want to be defended by
selbauka'e,linguistically competent､ able to speak
selca'u,to occupy a space; takes up space
selcmipi'i,set intersection
selcmisumji,set union
seldamgau,to make something smokey; to light but not necessarily inhale
seldansazri,shooting
seldjixau,enviable
selfi'usa'i,to gawk
selfinfi'a,science fiction､ emphasis on technology
selfityjbu,altar
selga'esmu,stimulus meaning
selgaita'u,any clothing not worn on the outside --- underwear､ shirts､ etc.
selgapygau,make something be under...
selgeimau,happier
selgreka'e,surmountable､ penetrable
selgrenalka'e,insurmountable､ impenetrable
selgusrai,brightest
selja'efau,antecedent event
selja'esku,to explain something [giving its causes]
seljdadji,to want someone to be a member of a religion､ or to want someone as a member of a religion
seljdagei,beatific
seljdami'u,co-religionist､ person of the same religion
seljmaji,focus; gathering place
seljmiri'a,to make something understood､ clear
selju'ixau,noteworthy [of feature]
seljunbe'i,to inform/tell someone; transfer knowledge
selkecmlu,to look pitiable
selkeiste,list of toys
selma'e,ride [a vehicle]; be carried [on a vehicle]; cargo; transported 
selma'ecu'e,riding school､ driving school
selmamspemamta,mother of offsping's spouse
selmi'e,one who is commanded; [computer usage] command interpreter
selmonmi'u,following the same pattern
selneirai,favourite
selneimau,is preferred over X by Y
selneixau,estimable
selpeixau,estimable
selplidu'i,to emulate
selplika'e,useful
selplimi'u,to emulate
selplixau,useful [good in that it is used]
selplopijne,staple
selpopselta'u,clothed in torn clothes
selrepydja,harvested food
selrerkru,parabola
selrigvamtu,vomit in disgust､ puke
selsabytutra,supply territory
selsajgau,bring something to someone's attention
selskuvei,recording of something [expression
selsmujmi,to interpret something as being something
selsnuka'e,debatable
seltavma'o,2nd person pronoun
seltepmau,scarier
selteprai,most fearsome
selti'ifla,proposed law､ bill
selti'ismu,proposed meaning
selti'u,mother or father [parent] of a daughter [as opposed to a son]
seltilmau,more detailed
seltilmau catlu,to look more attentively
seltolnei,displease
seltutrai,king of...
selviska'eri'a,makes visible or allows to be visible
selvrestu,a place to lie down
selxaumau,have an advantage over (zmadu fi leni se xamgu)
selxaumaugau,improved (se ke xamgu gasnu; given the ambiguity --- cf. selxagmau -- selkemxagmaugau may be better)
selxagryvau,bocal of reed instrument
selxlupai,biased
selylauca'a,microphone､ amplifier､ megaphone
selylazmi'u,relative of...
selylebvla,loan word (cf. le'avla)
senlanli,critic
senxu'i,hallucinogenic intoxicant､ narcotic
seirgau,to separate
snebaigau,is impelled to do､ has the drive to do
sezdrari'a,self-correcting
sezlacri,self-confident
sezlu'i,to wash (intr.)､ to wash oneself
sezvelski,self-description
sezyci'i,self-interested
sezycitri,autobiography
sezyju'o,self-knowledge
sezykarni,diary
sezykemxaumaupai,to think oneself better than...
sezypa'i,egotistical; self-love
sezypevdu'a,
se'ipli,recursive
sezyse'u,selfish､ self-serving､ egotistical
se'itru,autonomous
kamse'itru,autonomy
sezyxangle,self-masturbation
sezyxaumaupai,to think oneself better than...
sezyxu'a,self-asserting
sezyzdakla,go home
sfacatra,to execute
sfala'a,to be fastened in punishment [e.g. crucifixion､ pillory]
sfanalseljde,flagrant､ incorrigible
sfaxai,harm､ set out to hurt
sfecra,is in relief [art; stands out]
sfefli,to fail someone
sfesti,stop being of service､ useful
sfestigau,render something inoperational
si'arfriti,to dedicate something to someone
si'asnu,discuss someone with respect
si'erbi'e,blizzard
sibycanja,exchange of ideas
sibyti'i,to suggest [of ideas]
selsi'oti'isni,connotation
sibdai,objects which have no concrete reality､ eg mathematical objects
sicko'o,Irish
siltci,whistle
silto'a,whistle tone
sigdamva'u,to smoke something [tobacco]
sigdanmo,cigarette smoke
sigva'u,to smoke something [inhaling､ tobacco] (abbreviation of sigdamva'u)
sigycko,to smoke a cigarette
sigyfesyvau,ashtray
sigyfespalta,ashtray
sigyfri,to smoke a cigarette
sigypli,to smoke a cigarette
sijycutci,skate
sijykla,to ski to...
tersijykla,top of a ski slope
sikcurnu,silkworm
silgei,whistling-happy
simcabna,simultaneous
simcatra,kill each other
simda'a,to fight each other､ to fight (intr.)
simda'e,to exert a force on each other [for every action､ a reaction - force as a concept in physics]
simda'i,hit each other
simju'o,to know [about] each other
simpro,oppose eachother
simfra,interplay
simfrica,to differ [from each other]
simgle,to copulate (intr.)､ to make love (intr.)
simjikca,socialising with each other
simjvi,to compete with each other
simkansa,together､ be with each other
simkruca,intersecting
simla'i,alternative to porla'i for ”successive”
simlivbaigau,force each other to leave
simpanpi,to be at peace with each other
simpe'o,are friends [of each other]
simpe'u,to touch (intr.)､ to be in contact at
simpe'i,meet (intr.)
simsarxe,harmony､ in balance with each other
nalsimsarxe,disharmony､ clashing with each other
simselyli'e,following each other
simta'a,to talk (intr.)､ to talk to each other
simtipyda'a,kick each other
simxanja'i,hold each other's hands
si'umri,to mail each other
si'uzva,to co-occur､ to occur in each other's location
sincycrida,dragon
sincysna,hiss
si'arseldu'a,award､ prize [as token of esteem､ e.g. Nobel prize]
sipku'a,bedroom
sipsavgau,to snore (cf. se sipsavru)
sipyvru,snoring
sipstu,a place to sleep
sipta'u,pajamas
sipydakli,sleeping bag
sivdju,[private] secretary
sivycni,feeling private
sivyta'u,underwear
kapkandi,colour of pale skin
skavrici,motley､ many-coloured
skefa'i,to make a scientific discovery
skefi'a,sci-fi､ with emphasis on science
skegu'a,scientist
skepre,scientist
skinoi,descriptive message [advertisement?､ (though doesn't seem appropriate)]
skola'a,to rope
skora'e,tailpiece of stringed instrument; fastener/anchor for any cord or string
skosra,bridge of stringed instrument
skovrede'a,martele' string bowing
skucre,communicative
skuci'a,to expres in writing
skutadji,manner of expression､ idiom､ register
skuzau,to express approval of､ to praise
slacfa,starts being familiar with; is introduced to
slacfagau,to introduce someone to someone
slacti,banquet､ feast
sladei,[national] holiday
slagei,joyful
slapemci,paeans､ hymns
sligau,to wave (tr.)
slivru,creaky
slisko,oscillating string
slisko damrntamburo, damrntamburo
sludemcro,muscle cramps
slugu'a,[physical] exercise
slukemcakfi'e,clam
slunandu,difficult､ in requiring physical effort
sluseltro,controlled manually
slutro,dexterity
smaba'u,to whisper､ to mutter､ to say softly
smacni,calmly
smagai,damper
smajmavra,damper pedal
smatci,mute､ damper
smigau,Verbal ”etc.” (e.g. ”you can't write or read or do things similar to that”); simulate
smimlu,to seem like
smirai,most similar
smizu'e,to imitate
smudu'i,equivalent [meaning]
smujmi,interpret
smulei,semantic class､ case
smuske,semantics
snacau,noiselessly
snacko,sound-absorber
sadmi'o,renowned for acts
snaga'e,hearing [as sense]
snage'a,phonology
snagenske,phonology
snajalra,cricket
snakamju,soundpost of stringed instrument
snaku'ocukca'a,record player
snaku'ocukla,LP､ vinyl record
snaku'ocukyzmi,jukebox
nanstici,south west
nanstuna,south east
snasrica'a,tape player
snasrita'e,cassette
snaterga'e,sound sensor
snaterga'eca'a,microphone､ amplifier
snavei,sound record
snaveiku'ocukla,LP､ vinyl record
snaveisrica'a,tape player
snavelminra,echo
snavelmiryri'a,resounding [you strike the mirror a resounding blow] (do snavelmiryri'a darxi le minra)
snaze'a,to be amplified
snexu'i,hallucinogen
snima'o,pronoun､ anaphor
sniti'i,to signal an action
snoraisli,contrabass
snosli,relatively low in tone
snoslijgita,bass guitar/double bass
snulalske,discourse analysis
snununpe'i,seminar meeting
snusna,sound of talking､ babble､ chatter
snuxau,debatable､ worth discussing
so'etsi,soybean
sorpra,fecund [of land]
sorpre,crowd
sorna'a,old､ lasting many years
sorprema'e,mass transit vehicle
sorpruda'i,with several upbeats､ ruff stroke
sorterplo senta, x1 = polje3 (folding crease)､ x2 = polje2 (folded)､ x3 = polje1 (fold)
sorzu'edzukla,to bustle into...
soidji,to want a soldier
soirnei,to like a soldier
solboi,the Sun
solgu'i,sunlight
solro'i,the Sun
solseldi'e,sunrays
solxrula,sunflower
sonralju,officer
sorkoitai,polygon
sorprekarce,bus
soryre'a,crowded､ crowd
sosma'o,a complex cmavo､ consisting of several atomic cmavo
sosyjetka'u,byte [not limited to 8 bits]､ word
sosyselcmipi'i,intersection of more than two sets
sosyselcmisumji,union of more than two sets
sosyzda,village [few houses]
sotprekarce,car､ not bus or truck
sovrango,gonad
sovyseltai,ovoid､ oblate､ egg-shaped
spabi'u,hedge
spacange,crop/flower/tree-growing farm
spacau,barren
spatadni,botanist
spagunma,bush
spebi'o,to marry (co'a speni)
spebu'a,brother of spouse of...; brother-in-law
spebunspe,person married to spouse's brother; brother-in-law's wife
specfari'i,wedding
spegau,to marry someone to someone
spekemlazyki'i,in-laws of...
spelazmi'u,in-laws of...
spemamta,mother-in-law
speme'i,sister-in-law
speme'ispe,person married to spouse's sister; sister-in-law's husband
sperirni,parent-in-law
spepa'u,father-in-law
spesi'u,to be married
speti'u,step-daughter
spetubyspe,two people married to siblings､ concu~nado/a
spetunba,sibling of spouse of...
spezau,to approve of someone as a spouse
spicku,scrapbook
spixra,mosaic
spofriti,to sacrifice something
spusku,respond
sraki'e,mattress
raksku,to scratch some message
srimakyvelvei,tape [computer or sound]
sropanka,parking lot
srota'e,box for storing things
sacrai,most honest
stagau,to park a vehicle
stagypurdi,vegetable garden
stagyve'u,greengrocer
sicmla,west side of ...
stiri'a,causes to cease
stodatni,a constant
stufa'i,to find something [e.g. to discover its location]
stula'i,is adjacent to [in location]
sunzdo,East Asian､ Far East
sunzdopre,East Asian person､ 'oriental'
sucri'a,to abstract something
sudgau,to dry something
sudgaubu'u,dishrag､ towel､ drying cloth
sudyfoi,desert
sudysrasu,hay
sudytu'a,dry land
sukli'a,to dash off
sukybajykla,to bolt [run]
sulkai,wooly､ fuzzy
sulmai,fuzzy､ wooly
sumnyjirna,antenna [of insect]
sumtcita,argument label
sunko'o,Scottish
surbi'o,to relax
surdzu,to amble
sutctidja,fast food [to eat]
sutfau,fly by [e.g. ”Blur in brain”]; more generally､ a flash [of an event]
sutfle,rush in [of liquid]
sutkemjupsabdja,fast food [quick to prepare and eat]
sutrai,fastest
sutraisli,sopranino
sutybai,to rush someone
sutfi'i,to come up with on the fly/spot､ to cook something up
sutygau,to rush someone
sutyjvi,race [speed]
sutkla,to go quickly
sutmau,faster
sutyterjvi,speed race
sutyzbadja,fast food [McFood]
sutsabdja,fast food (canonical term)
sutspu,to reply fast
sutyjupydja,microwaveable food (not ”fast food”､ cf. sutryzbadja)
tavjmi,understand someone talking
ta'atci,anthropophonic apparatus
ta'axlu,to talk someone into something､ to persuade
taxyca'a,'box' as description of apparatus
ta'irgau,to tire someone [of person]
ta'orda'i,striking a board; snap [of pizzicato]
ta'orstizu,bench
ta'uzba,tailor
tacpinxe,lick [drink by licking]; lap up
tacto'acfa,tonguing of wind instrument
tacti'e,retracted [of vowels]
tactungau,lick [poke with tongue]
tacycra,advanced [of vowels]
tacydzi,lowered [of vowels]
tacyga'u,raised [of vowels]
tacymidju,centralised [of vowels]
tadgri,study group
tadju'i,to study something
tadnunpe'i,class meeting
tadypre,student
tadycku,textbook
tadysmadyfi'a,science fiction as speculative fiction
tafkoi,hem of...
taflumpu'o,clothes washing powder
tafygunma,suit､ ensemble of clothes､ costume
tagmau,tighter
tagysna,squeak [of door]
tamglefri,orgasm
taktapla,ceramic tile
takybli,brick
tamdu'i,similar､ isomorphic
tamju'o,recognise [the shape of]
taismi,resembles in shape
tankycacpli,to have a smoking habit
tankydanmo,tobacco smoke
tankyjelfri,to have a smoke
tankyjelgau,to smoke something
tankypli,to smoke something
tankyxu'i,nicotine
tauzba,make tanru
tapkla,to step to something
taplytai,polygon
tatyji'o,nipple
tatyta'u,bra
taurselpli,is used as a tanru
taursu'a,tanru structure
tavba'u,to tell someone something
tavma'o,1st person pronoun
tavnei,talkative､ loquacious
taxmi'i,'box' as description of machine
cacysku,people who say things habitually; [people who say proverbs､ (though that's more like se tcacyselsku)]
tcakarni,local newspaper
tcanai,city-state; city as social unit
tcare'etcana,city train station､ Metro
tcatru,mayor､ municipality
tcatytei,tea-time
tcavro,town gate
tcavru,city noise
tcaxa'u,citizen of...
tcebi'o,to grow､ to increase
tceci'i,very interesting､ fascinating
tcecla,very long
tcecli,learned [of person]
tcecne,varying､ diverse
tcefri,experienced
tcegei,very happy
tcesau,ancient
tceselpu'a,very pleased
tceselspaji,astonished
tceselxai,much-injured
tcesnosli,bass
tcesutsli,soprano
tceta'i,exhausted
tcete'a,horrified､ very fearful of
tceva'uvruto'a,breathy tone
tcexai,much-injuring､ dangerous
tcikyselylacri,prompt
tcikyzga,to watch/ find the time of day/the time when something occurs
tcityta'o,signboard
tciveljai,handle of a tool
tcokumte,llama
tcudu'u,desperate
tebykre,moustache
tecmau,more specific
tedboi,globe
tedyplini,the planet Earth
teicla,old､ having survived a long time
teirmo'a,temporal pattern
teistu,the time at which something happens
tembavdei,anniversary day
tembavna'a,anniversary year
tembavytei,anniversary
temcimni,eternal
temge'a,tense grammar
tepcau,fearless
teprai,most afraid
tepri'a,to scare
tepringau,to cause fear
tepygau,to scare
tercakyjme,pearl
terda'akoi,front [military]
tergusmi'i,lamp
terkemselgeimau,is made happier by something than by something else
terlumpu'o,washing powder
termo'ixau,memorable
terpecfoi,keyboard
tersa'e,something stroked with; e.g. a string bow
tersa'ecpu,to bow a stringed instrument
tersliroldu'i,”white” [of noise]
tersacmau,something about which someone is more honest (e.g. ”the 4th symphony is more honest than the 5th” = ”the 4th is something in which the composer was more honest than in the 5th”)
terto'asko,string of musical instrument
tervlimau,to be a greater power than...
rixybakfu,backpack
rixybo'u,backbone/spine
rixykansa,to follow someone
rixpau,back､ back portion [body part]; the back of something､ as opposed to behind something
rixtu'e,hind legs
rixsfe,back surface
ti'icki,theory､ hypothesis
ti'ifla,proposed law､ bill
ti'ortai,shadowy figure; silhouette
ti'otci,lampshade
tixspe,son-in-law
tibmli,obedient､ meek
ticyjifsku,lie
ticysku,to equivocate､ to deceive someone in saying something [includes lies and half-truths]
tigdi'u,theatre
tigygusta,cabaret
tigypre,performer/player
tikygau,adjusts (agentive)
tilcau,featureless
tilmau,(abbreviation of seltilmau) more detailed
tilsku,to go into details､ to explain something
tinca'a,microphone､ amplifier; hearing-aid
tinju'i,listen
tinsybu'u,canvas
tinsyple,cardboard
tipyboi,football [the ball]
tisnanba,pie､ pasty､ blintz､ pancake
tisycanti,sausage
tisydja,pie､ pasty､ sausage
titnanba,cake､ sweetbread
titselpa'i,sweetheart
tixmamta,mother of daughter [as opposed to son] X
to'acfa,attack of tone
to'acru,to let something vibrate
togykaigri,organ stop
to'asti,release of tone
to'asto,steady-state of tone
tolcitnau,old man
tolci'o,ancient､ old [opposite of young]
tolcu'i,impossible
toldarsi,coward､ shirker
tolno'i,plebeian､ commoner
tolpante,can't complain
tolsi'a,disrespect
tolte'i,general
tolte'igau,to generalise
tolvri,coward
tolzba,to demolish
tocnunpe'i,workshop meeting
toirca'a,prototype
togdicra,to choke a tone
togle'u,vowel (non-phonetic)
togra'ijmavra,sostenuto pedal of piano
togyci'e,musical scale
togycnesli,trill
to'apra,tone-producing､ musical
to'asli,tonal oscillation､ including vibrato and trills
togytikygau,to tune an instrument
togytikpijne,tuning peg
togytikpijnyvau,tuning peg box
togytikyke'a,tone hole of wind instrument
tolbanzu,insufficient
tolcanci,appear､ irrupt､ materialise
tolka'eselylacri,unreliable､ treacherous
tolnindai,old objects､ [antiques]
tolpaivu'e,unfairness､ injustice
tolpa'e,imperfect､ flawed
toltiljvo,not detailed lujvo､ ”Lean lujvo”
tolzau,disapprove
tolzaupai,criticism､ disapproval
torcrida,dwarf
tordakyxa'i,short sword
torga'axa'i,club
tormau,shorter
tornunkruca,short-circuit
torselsku,[brief] article
tortei,short [in time] [of event]
toryre'a,hobbit
rairnei,like best
rairtoi,with all one's might､ as hard as one can
tramo'a,pattern of behaviour
tramo'a zanmupli,exemplary in behaviour
tranydro,ammonia
tratygarna,musical bow
ricyzbe,tree stump､ tree trunk
truci'e,government
trukamni,governing council
truspe,queen consort､ prince consort; concubine
trusragri,political party
trustizu,throne
tsacinla,lanky
tsamau,stronger
tsame'a,weaker
tanbargu,rainbow
tanxa'u,heaven-dweller [e.g. Gods]
tsarai,strongest
tsejbi,to sit at [a table]
tsifaigau,to sow
tsilitki,semen
tsipejgau,to sow
tsise'a,to sow､ to plant seeds in
tsiselcigla,semen
tsivi'i,ejaculate
tsubu'u,thick cloth
ckagai tsubu'u,bedquilt
tsugrusi,thick and gray
tu'ucra,bore of tube
tubyspe,person married to one's sibling
tubyti'u,niece
tupcutci,boot
tupyga'u,thigh
turdu'i,isomorphic to
tutkoi,border
tutske,geography
tutytu'a,domain､ kingdom of...
vajba'u,to say something important､ to declare
vajrai,most important
vairxu'a,to say a slogan or something monumentous
selvaixu'a,slogan
vlakei,punster
vlanunkei,punning
vlaselkei,pun
vlaturge'a,morphology
vlatercu'a,lexicon
vampai,to evaluate
vacysai,dinner
vanjba,grape
varjei,Army Air Force
varmuvmi'i,fan [air conditioner]
varselclu,inflated [e.g. boat]
varsoi,airman
vasnanba,pie､ pasty､ blintz､ pancake
vaurgau,to contain/put/wrap something inside something
vaxterje'e,exhale
vaxtu'o,inhale
vaxtu'upau,mouthpiece of instrument
vaxyba'u,to whisper
vaxyke'a,blow hole､ embouchure of wind instrument
vaxyvi'i,exhale
vazdzu,passer-by
venynoi,advertisement
vensni,advert. billboard
vefsfa,take revenge on
vefydji,to want to avenge...
veirci'a,writes down､ records
veljoicradi,radio transmitter/receiver (possible new stylistic)
velkemprema'e,the motive force for a people-vehicle
velklali'i,rail､ route as line
velma'ekla,to go somewhere in a self-powered vehicle [e.g. cycling]
velma'epre,cyclist､ rickshawman､ Fred Flintstone
velmirsna,echo
velskicau,undescribed､ undescribable
venski,to advertise
vesyspa,spring plant
venzmi,vending machine
verjipci,chick
verku'i,wet-nurse
vi'ajmi,to see that something is true [e.g. ”I saw that...”]
vi'ecpe,to invite
vibgle,vaginal sex
viblitki,vaginal secretions
vibmolgle,cunnilingus
vibyselcigla,vaginal secretions
vidnyveica'a,VCR
vijyja'a,pilot
vijysazri,to fly a plane
vilkla,to barge into
vilti'a,storm
vilyle'a,to seize
vimku'a,toilet
viptru,deputy governor､ viceroy
vipyja'a,deputy captain [e.g. first officer]
viska'e,sighted､ not blind
viska'eri'a,make visible､ show
viskli,transparent
visnalka'eri'a,to make something not visible､ to block someone's view
vi'adji,want to see something
visfa'i,to spot something
visyvei,visual record
vi'orji'e,stay alive､ keep living
vizbei,to bring here
vizyklo,local [to the speaker]
vizystu,here
vlaba'i,anaphora
vlacku,dictionary
vlaja'o,deixis
vlali'i,line [of text]
vlami'u,synonym
vlaste,word list
vlastocku,dictionary
vlaxajmi,pun､ calembour
vliki'a,strong call
vlikla,to barge in
vlimau,more powerful
vlinyselkau,to have a logical alternation in common; used to take of logical alternation of more than two operands
voikla,to fly to
voirli'u,to fly
volmabru,bat
voksnaske,phonetics
vokle'u,vowel [letter denoting vowel]
voksli,vibrato､ trill [singing]
volcukla,flying disc [saucer]
volfalnu,kite-sail
volgau,to set flying
volselkei,kite､ any flying toy
vonpitytai,tetrahedron
vonselmla,quadrilateral
vonmlatai,quadrilateral
vonskosa'e,quadruple stop in string instruments
vrostu,doorway
vrede'a,to stop while resting on something
vresraki'e,matress
vriba'i,brave
vricyvipsi,secretary/person Friday of person...
vrikla,bravely go forth
vrirai,bravest
vrobi'u,door [the piece of wood､ as opposed to the passageway]
vroca'o,French window
vrogai,door [the piece of wood､ as opposed to the passageway]
vrozu'itci,door [the piece of wood､ as opposed to the passageway]
vruca'a,[car] horn､ klaxon; rattler
vrucau,noiseless
vu'igla,spicy､ hot (cpina)
xa'argai,envelope
xa'arvau,envelope
xa'urjudri,home address
xa'urvanbi,habitat
xabyplu,peninsula
xabmapti,mate/match of ... [anything from socks to humans]
xabminli,half mile
xabnilganra,radius
xabybumru,half fog
xacysanta,shield
xacysantyse'u,squire
xadbi'o,to become flesh
xadmidju,waist
xadmuvgau,to move a part of the body
xadycarna,to toss､ to turn (intr.)､ [of body]
xadycla,tall
xadykro,bent (of body)
xadykro rinsa,to bow to someone
xadypau,body part
xadyplijvi,athletics and other sports
xadysku,gesticulate; body language
xadytaixau,well-proportioned [of body]
xadyti'e,back [of body]
xadyxai,to beat someone
xauzma,better
xagmaubi'o,to improve (intr.)
xagmaugau,to improve (tr.)
xagmaupai,to judge as better
xagrai,best
xagri'a,to make good､ to improve
xaursirji,straight [as in ”sit up straight”]
xagze'a,to improve (intr.)
xajre'u,pork
xalbarja,bar
xalbebna,tipsy､ giddy､ besotted
xalcro,hangover
xaldji,craving for alcohol
xalfenki,madly drunk
xalgei,giddy､ merry
xalkai,alcoholic
xalnunvindu,alcohol poisoning
xalpinxe,to drink alcohol
xalpixydji,craving for alcohol
xalsa'a,to sing drunkenly
xalsedycro,hangover
xalsipna,alcoholic stupor
xalsla,booze-up､ revelling
xalvamtu,throw up due to alcohol
xalxre,cocktail
xamfi'i,comic writer
xamgau,a [practical] joke
xamselfi'i,joke､ humorous writing
xamyzu'e,to make a joke [particularly a practical joke]
xanboi,handball
xandakyxa'i,dagger
xandegji,finger [hand､ as opposed to toe]
xandegycalku,fingernail
xangle,manual stimulation､ fingering､ hand job
xanjanbe,handbell
xanjoifirsku,gesticulate
xansku,gesticulate
xantamji,thumb
xanterjo'e,wrist
xantydenmai,ivory
xanzunto'a,stopped tone [of French Horn]
xarpre,character [e.g. roleplaying games､ fiction]
xaskla,navigate
xaskoi,beach､ coast
xaslycmo,bray
xasxelkla,sea vehicle
xasyda'u,sea animal
xasymabru,water mammal [dolphin､ whale]
xasysfe,sea's surface､ sea-level
xasyspa,sea plant､ including algae
xaufri,enjoy
xaujdi,good judgement､ discerning
jikca ka xaujdi,tact､ discernment､ discretion
jikykamxaujdi,tact
xaupre,goodfellow､ good person
xaurfu'a,lucky､ fortunate
xaurka'e,to be good at...
xaurpai,approve
xaurprepro,divisiveness､ opposing the good
xaurtoi,to try well､ to make a good attempt
xavyselmla,six-sided
xavyto'a,octave
xekselkre,black-haired
xejyji'o,chin
xejykoi,chin
