lujvo,meaning
dusyva'u,overblow [wind instrument]
dunjbi,approximately equal (not 'equivalent'; that is dunli､ with an appropriate te dunli)
dubjavmau,greater than or equal to
dubjavme'a,less than or equal to
dudnei,generous
dugyste,list of logarithms
dujyca'a,refrigerator
dujyku'a,cooling room
dukri'a,to anguish (tr)
dutsinso,cosine
dukyba'u,to utter in anguish
dusnei,fanatical
dusta'i,exhausted
dusto'u,over-short
dusydarsi,imprudent
dutpi'i,inverse of multiplication､ division
dutydikca,negative electricity
dzeko'o,Celtic
dzispa,bush､ shrubbery､ low-laying plants
dzugre,walk in through...
dzukansa,walk together with
dzukla,to walk to
dzuklaji,footpath
dzupoikansa,to follow someone in walking
fatydu'i,symmetric [of construction/relation]
fatpo'a,to implode
fatytisygau,open [un-stuff]
fadme'e,common [non-scientific] name
fagdirpre,firefighter
fagycfatci,tinder box､ cigarette lighter
fagyfesti,ash
fagyfesyska,ash-coloured
fagyfesyvau,ashtray
fagyka'u,spark
fagysti,to be extinguished
fagystigau,to extinguish
fagytergu'i,torch
fairbei,to carry something distributing it to...､ to bring and hand out...
falbu'u,parachute
falcru,to drop (tr.)
fanbu'u,canvas
famdakfu,chisel
famfa'o,”the end of the end”､ ”what it all boils down to”､ the final conclusion; the utmost extremity
famyma'o,terminator cmavo
fancyju'a,function expression
fankla,to sail to
fanvyca'a,translator-machine; compiler
fanvyca'ate'i,compiler-specific
fanvyca'ate'i fancyju'a,pragma
farcne,to bend [of a path]
fargau,to aim/direct something at something
farja'o,to indicate something; [point]
fasygu'e,France
fatna'u,negative number (slightly broad definition)
faurju'a,occasion sentence
faurpai,to referee､ to arbitrate
favgau,to develop (tr.)
faxri'a,causing forgiving
fazykei,mischievous
fazyta'a,chatter
febgau,to boil (tr.)
fegba'u,roar
fegba'ugunta,scold､ verbally attack
fegboixa'e,fist､ clenched in anger
fegycau,mild､ meek
fekpre,crazy person､ lunatic
fekri'a,driving one crazy
fekygei,mad happiness
fengidmo'a,sewing pattern for garment...
fepsi'i,a cent [coin]
fesydai,waste object､ waste
fetcinfo,lioness
fetci'o,female young
fetnalspe,Miss; spinster
fetno'i,lady
fetnolraitru,queen regent
fetpe'o,female friend､ girlfriend (no romantic connotation)
fetpa'i,girlfriend [lover]
fetspe,wife
fetyganti,ovaries
ficri'a,to differentiate､ to make able to be distinguished
fikcku,fiction book
filri'a,to make it easy
filseljmi,elementary [of concepts]
filselzga,flagrant､ in open view
finfriti,to dedicate Y to Z
fipybirka,fin
fipfalnu,fin
fipyrebla,tail fin
finxu'a,define
fipcange,fish farm
fipkalte,to fish
firgai,mask
firkre,beard
firkrevi'u,shave
firsku,a look [facial expression]
flacau,lawless､ not law-abiding
flanaltinbe,outlaw (of people)
flecarvi,pours [intense rain]､ emphasizing flowingness
fleri'u,to hold back [of electricity in blackout]
fletisygau,pours - fills receptacle with liquid
flobimvro,front gate
flulimna,swim by floating
fomke'acirla,swiss cheese
fomsle,bubble
fonsnu,phone conversation
fonjudri,phone number
fonta'a,to talk on the phone
velfonynoi,send the message by phone/telephone
fonynoi,phone/telephone message
fraba'u,to react by saying､ to respond
fragu'i,laser [as a response to a stimulus]
frasku,to respond
frecande'u,loam
fregau,to make fertile､ to fertilise
frerai,most fertile
freri'a,to make fertile､ to fertilise
fi'ormerko,African-American､ negro
fi'ortutra,Africa
filmau,easier
frinyna'u,rational [fractional] number
fu'ivla,loan-word
fuzyji'i,to suspect､ to blame
fuzyka'eji'i,to suspect､ to blame
fu'esku,to blame､ to lay blame on
ga'acpu,to row､ to tow with a rod
ga'arxa'i,staff; quarterstaff [weapon]
ga'avro,a grate
ga'orbi'o,to close (intr.)
ga'orga'i,to close (tr).
ga'orgau,to close (tr.)
galcla,tall
gafto'a,altered tone [e.g. trumpet mutes]
gafto'atci,mute [e.g. trumpet mutes]
gafygau,modifies (agentive)
ga'izba,reconstruct､ build out of something else
gairbu'u,bedcover
gairgau,to cover
gairja'i,encrusted､ adorned
gairki'e,[eiderdown]､ matress
gairkosta,coat; overcoat
galbirka,forearm
galmau,higher
galpau,the high part of something
galrai,highest
galsu'a,a pile of...
galtu'e,thigh
gancuktai,ellipse
ganle'u,vowel (non-phonetic) (ref. to articulatory aperture)
gankurfa,rectangle
gapcpare,to climb up something
gapcta,look up
gapkla,to go up...
gapydzu,to walk up
garka'afendi,railsplitter
gasfri,feel､ sense
gaurkalsa,act chaotically
gaxmolgle,analingus
gaxygle,anal sex
gaxykafke,to fart
gendra,grammatically correct､ grammatical
geipre,happy person
geirde'a,gladly waits for､ is patient
geirgau,to cheer someone up
