gismu,freq,inflation,meaning
namcu,306,,number
nanba,76,,bread
nanca,682,,year
nandu,516,,difficult
nanla,216,,boy
nanmu,3587,,man
nanvi,5,,10exp-09
narge,71,,nut
narju,92,,orange
natfe,68,,deny
natmi,103,,nation
navni,11,,neon
naxle,15,,canal
nazbi,71,(x),nose
nejni,26,,energy
nelci,1386,,fond
nenri,958,(x),in
nibli,337,,necessitate
nicte,216,,night
nikle,5,,nickel
nilce,13,,furniture
nimre,15,,citrus
ninmu,1205,,woman
nirna,46,,nerve
nitcu,1590,,need
nivji,17,,knit
nixli,204,,girl
nobli,129,,noble
notci,401,,message
nukni,55,,magenta
nupre,73,,promise
nurma,38,,rural
nutli,33,,neutral
nuzba,235,,news
pacna,295,,hope
pagbu,387,,part
pagre,230,,pass through
pajni,86,,judge
palci,172,(x),evil
palku,26,,pants
palta,20,,plate
pambe,15,,pump
panci,80,,odor
pandi,8,(x),punctuate
panje,2,,sponge
panka,65,,park
panlo,7,,slice
panpi,100,,peace
panra,91,,parallel
pante,72,,protest
panzi,257,,offspring
papri,66,,page
parbi,17,,ratio
pastu,11,,robe
patfu,368,,father
patlu,7,,potato
patxu,29,,pot
pelji,66,,paper
pelxu,112,,yellow
pemci,366,,poem
penbi,9,(x),pen
pencu,1011,,touch
pendo,627,,friend
penmi,481,,meet
pensi,738,,think
perli,28,,pear
pesxu,5,,paste
pezli,109,,leaf
pijne,29,,pin
pikci,24,,beg
pikta,51,,ticket
pilji,8,,multiply
pilka,30,,crust
pilno,1848,(x),use
pimlu,19,,feather
pinca,19,(x),urine
pindi,53,,poor
pinfu,60,,prisoner
pinji,66,,penis
pinka,340,,comment
pinsi,38,(x),pencil
pinta,20,,level
pinxe,645,,drink
pipno,200,,piano
pixra,314,,picture
plana,178,,plump
platu,93,,plan
pleji,184,,pay
plibu,19,,pubic
plini,274,,planet
plipe,188,,leap
plise,1126,,apple
plita,30,,plane
plixa,24,,plow
pluja,144,,complicated
pluka,368,,pleasant
pluta,283,,route
polje,21,,fold
ponjo,48,(x),Japanese
ponse,831,,possess
porpi,184,,break
porsi,130,,sequence
porto,32,,Portuguese
prali,36,(x),profit
prami,1003,,love
prane,130,,perfect
preja,33,,spread
prenu,3856,,person
preti,544,,question
prije,137,,wise
prina,73,,print
pritu,119,,right
prosa,98,,prose
pruce,131,,process
pruni,5,,elastic
pruxi,128,,spirit
pulce,43,,dust
pulji,81,,police
punji,207,,put
punli,10,,swelling
purci,265,,past
purdi,60,,garden
purmo,8,,powder
racli,136,,sane
ractu,90,,rabbit
radno,3,,radian
rafsi,2398,,affix
ragve,56,,across
rakso,6,,Iraqi
raktu,93,,trouble
ralci,34,,delicate
ralju,387,,principal
ralte,49,,retain
randa,32,,yield
rango,24,,organ
ranji,221,,continue
ranmi,51,,myth
ransu,4,,bronze
ranti,49,,soft
ranxi,57,,irony
rapli,114,,repeat
rarna,104,,natural
ratcu,114,(x),rat
ratni,46,,atom
rebla,78,,tail
rectu,50,,meat
remna,3251,,human
renro,202,(x),throw
renvi,70,,survive
respa,78,,reptile
ricfu,86,,rich
rigni,44,,disgusting
