section_id,freq,sign,actual,actual_breakdown,canon,canon_breakdown,canon_meaning,canon_places,new,new_breakdown
4,1,?*,kunporti,mineral+*UNKNOWN*,,,,,,
4,1,?*,kurdista,square+*UNKNOWN*,,,,,,
4,1,?*,lapseksi,pull+*UNKNOWN*,,,,,,
4,1,?*,lausinto,*loud+*UNKNOWN*,,,,,,
4,1,?*,lauvorte,*loud+*UNKNOWN*,,,,,,
4,1,?*,lektanti,cold+*UNKNOWN*,,,,,,
4,2,?*,lektebli,cold+*UNKNOWN*,,,,,,
4,8,?*,leltulkau,*UNKNOWN*+swallow+common,,,,,,
4,2,?*,lenstude,lens+*UNKNOWN*,,,,,,
4,1,?*,lodtsa,**UNKNOWN*+strong,,,,,,
4,2,?*,lojyfuzi,lojyfuzi,,,,,,
4,6,?*,lorpia,fox+*UNKNOWN*,,,,,,
4,1,?*,lufbra,**UNKNOWN*+big,,,,,,
4,1,?*,lulkanto,*UNKNOWN*+*UNKNOWN*,,,,,,
4,1,?*,malferma,derogative+*UNKNOWN*,,,,,,
4,2,?*,malnaski,derogative+*UNKNOWN*,,,,,,
4,1,?*,malsulba,derogative+*UNKNOWN*,,,,,,
4,1,?*,maltrovi,derogative+*UNKNOWN*,,,,,,
4,1,?*,malvarma,derogative+*UNKNOWN*,,,,,,
4,6,?*,mambesto,mother+*UNKNOWN*,,,,,,
4,2,?*,mancante,dark+*UNKNOWN*,,,,,,
4,1,?*,marsange,reference+*UNKNOWN*,,,,,,
4,1,?*,mastucke,*temple+*UNKNOWN*,,,,,,
4,2,?*,matruska,*fit+*UNKNOWN*,,,,,,
4,1,?*,maulitsio,*more+polite+*UNKNOWN*,,,,,,
4,1,?*,mazdri,*UNKNOWN*+sad,,,,,,
4,4,?*,melkie,beautiful+*UNKNOWN*,,,,,,
4,6,?*,melnicki,beautiful+*UNKNOWN*,,,,,,
4,1,?*,memkrementi,-some+hair+*UNKNOWN*,,,,,,
4,1,?*,memstare,-some+*UNKNOWN*,,,,,,
4,2,?*,mendonca,mind+*UNKNOWN*,,,,,,
4,1,?*,mentorsocysia,mind+short+store+*UNKNOWN*,,,,,,
4,10,?*,mentsana,*mind+*UNKNOWN*,,,,,,
4,1,?*,mercredi,American+*UNKNOWN*,,,,,,
4,7,?*,merkia,American+*UNKNOWN*,,,,,,
4,1,?*,merkredo,American+*UNKNOWN*,,,,,,
4,4,?*,mermente,American+*UNKNOWN*,,,,,,
4,4,?*,mibrocta,*me+*UNKNOWN*,,,,,,
4,1,?*,midradradradra,*command+yield+yield+*UNKNOWN*,,,,,,
4,1,?*,mirlando,reflect+*UNKNOWN*,,,,,,
4,3,?*,mitkruce,same+*UNKNOWN*,,,,,,
4,2,?*,mitsatsa,*same+*UNKNOWN*,,,,,,
4,1,?*,mitsatsi,*same+*UNKNOWN*,,,,,,
4,1,?*,mlorie,mill+*UNKNOWN*,,,,,,
4,2,?*,moldisko,mouth+*UNKNOWN*,,,,,,
4,6,?*,morkorti,Moroccan+*UNKNOWN*,,,,,,
4,3,?*,mormogva,Moroccan+*UNKNOWN*,,,,,,
4,5,?*,morpurgo,Moroccan+*UNKNOWN*,,,,,,
4,1,?*,mortalko,Moroccan+*UNKNOWN*,,,,,,
4,1,?*,motvie,**UNKNOWN*+*UNKNOWN*,,,,,,
4,2,?!*,muflia,achievement-of+*UNKNOWN*,,,,,,
4,1,?*,narzvo,not-true+*UNKNOWN*,,,,,,
4,14,?*,nejgorse,*UNKNOWN*+*UNKNOWN*,,,,,,
4,1,?*,nejlepsi,*UNKNOWN*+*UNKNOWN*,,,,,,
4,2,?*,nervio,in+*UNKNOWN*,,,,,,
4,1,?*,neznanje,*UNKNOWN*+*UNKNOWN*,,,,,,
4,1,?*,niokoipunme,**UNKNOWN*+edge+*UNKNOWN*,,,,,,
4,1,?*,nisfasle,*lead+*UNKNOWN*,,,,,,
4,3,?*,norlonto,not-particularly-+*UNKNOWN*,,,,,,
4,1,?*,nunrevni,event-of+*UNKNOWN*,,,,,,
4,2,?*,nuntempe,event-of+*UNKNOWN*,,,,,,
4,1,?*,nunzio,event-of+*UNKNOWN*,,,,,,
4,1,?*,nustra,*UNKNOWN*+behave,,,,,,
4,5,?*,nuxtia,*UNKNOWN*+*UNKNOWN*,,,,,,
4,1,?*,pacypi'alauda,pacypi'alauda,,,,,,
4,2,?*,paglia,part+*UNKNOWN*,,,,,,
4,1,?*,pampuelia,love+*UNKNOWN*+*UNKNOWN*,,,,,,
4,2,?*,papketso,peace+*UNKNOWN*,,,,,,
4,1,?*,parkomse,climb+*UNKNOWN*,,,,,,
4,1,?*,pauvrete,*part+*UNKNOWN*,,,,,,
4,1,?*,pelkie,yellow+*UNKNOWN*,,,,,,
4,1,?*,pertso,pear+*UNKNOWN*,,,,,,
4,2,?*,pietsa,*UNKNOWN*+strong,,,,,,
4,5,?*,pintarse,level+*UNKNOWN*,,,,,,
4,2,?*,piodermia,**UNKNOWN*+dirt+*UNKNOWN*,,,,,,
4,1,?*,piptso,leap+*UNKNOWN*,,,,,,
4,1,?*,pitblado,*plane+*UNKNOWN*,,,,,,
4,4,?*,platense,plan+*UNKNOWN*,,,,,,
4,1,?*,plenamve,paper+*UNKNOWN*,,,,,,
4,7,?*,plezia,paper+*UNKNOWN*,,,,,,
4,2,?*,plinio,use+*UNKNOWN*,,,,,,
4,11,?*,pluguo,island+*UNKNOWN*,,,,,,
4,1,?*,porbesta,sequence+*UNKNOWN*,,,,,,
4,1,?*,porcento,sequence+*UNKNOWN*,,,,,,
4,4,?*,precolme,person+*UNKNOWN*,,,,,,
4,1,?*,preferto,person+*UNKNOWN*,,,,,,
4,1,?*,prizorgi,print+*UNKNOWN*,,,,,,
4,4,?*,propia,oppose+*UNKNOWN*,,,,,,
4,2,?*,pruvonta,past+*UNKNOWN*,,,,,,
4,1,?*,pudrirse,garden+*UNKNOWN*,,,,,,
4,1,?*,pueblano,**UNKNOWN*+*UNKNOWN*,,,,,,
