rafsi_or_cmavo,gismu,as_rafsi_ini,as_rafsi_mid,as_rafsi_fin,as_gismu,as_cmavo
cet,certu,3,0,0,0,
certu,certu,2,0,0,291,
cei,cevni,97,3,74,0,
cev,cevni,31,0,0,0,
cevni,cevni,0,0,0,467,
cfa,cfari,93,27,57,0,
cfar,cfari,0,0,0,0,
cfari,cfari,0,0,0,294,
fi'a,cfika,0,23,95,0,
fik,cfika,5,31,0,0,
cfi,cfila,3,0,26,0,
cfine,cfine,0,0,1,10,
fi'u,cfipu,23,5,17,0,
cfip,cfipu,0,0,0,0,
cfipu,cfipu,0,0,0,306,
cib,ci,90,10,0,0,
blu,ciblu,12,20,3,0,
dja,cidja,124,3,58,0,
cidj,cidja,0,0,0,0,
cid,cidni,53,0,0,0,
cidni,cidni,0,0,6,31,
dro,cidro,4,0,6,0,
cif,cifnu,22,0,0,0,
cifnu,cifnu,0,0,19,148,
cifn,cifnu,0,0,0,0,
cigla,cigla,0,0,9,11,
cigle,cigle,0,0,2,0,
cikna,cikna,0,0,37,139,
cik,cikna,27,2,0,0,
cikn,cikna,0,0,0,0,
cikre,cikre,0,0,2,95,
cki,ciksi,38,1,100,0,
ciksi,ciksi,0,0,0,271,
cic,cilce,73,0,0,0,
cilce,cilce,0,0,24,70,
cilc,cilce,0,0,0,0,
cim,cilmo,103,22,0,0,
cilmo,cilmo,0,0,3,98,
cilm,cilmo,0,0,0,0,
cli,cilre,24,1,29,0,
cilr,cilre,0,0,0,0,
cil,cilta,4,0,0,0,
cilta,cilta,0,0,4,30,
cimde,cimde,0,0,9,45,
cimd,cimde,0,1,0,0,
cimni,cimni,0,0,12,49,
cimn,cimni,7,0,0,0,
cinba,cinba,14,0,3,299,
cindu,cindu,0,0,19,30,
cind,cindu,4,0,0,0,
cinfo,cinfo,0,0,18,369,
cinf,cinfo,1,0,0,0,
cinfu,cinfu,0,0,10,0,
cinje,cinje,0,0,2,23,
cinki,cinki,0,0,26,58,
cinla,cinla,0,0,19,54,
cinl,cinla,6,0,0,0,
cni,cinmo,95,16,106,0,
cinm,cinmo,0,0,0,0,
cinmo,cinmo,0,0,0,372,
ci'i,cinri,22,4,103,0,
cinr,cinri,0,0,0,0,
cinri,cinri,0,0,0,475,
cin,cinse,62,70,0,0,
cinse,cinse,4,0,19,109,
cins,cinse,0,0,0,0,
cint,cinta,42,0,0,0,
cinta,cinta,0,0,9,150,
cinz,cinza,3,0,0,0,
cinza,cinza,0,0,3,16,
cpi,cipni,11,2,99,0,
cipni,cipni,0,0,0,680,
cipnu,cipnu,0,0,1,0,
cipra,cipra,4,0,18,168,
cip,cipra,4,8,0,0,
cipre,cipre,0,0,1,0,
cri,cirko,6,2,38,0,
cirk,cirko,0,0,0,0,
cirla,cirla,0,0,6,123,
cirna,cirna,0,0,34,0,
cirni,cirni,0,0,8,0,
ci'a,ciska,47,12,230,0,
ciska,ciska,0,0,4,955,
cisk,ciska,0,0,0,0,
cism,cisma,15,0,0,0,
cisma,cisma,0,0,9,130,
ci'e,ciste,19,3,168,0,93
ciste,ciste,0,0,0,218,
cti,citka,125,17,53,0,
citk,citka,0,0,0,0,
citka,citka,0,0,0,1696,
ci'o,citno,14,0,228,0,
cit,citno,127,17,0,0,
citno,citno,0,0,4,462,
cir,citri,31,0,0,0,
citri,citri,0,0,3,59,
citsi,citsi,0,0,14,38,
cits,citsi,2,1,0,0,
civ,civla,2,0,0,0,
civla,civla,0,0,2,29,
cizra,cizra,3,0,21,458,
ciz,cizra,20,0,0,0,
ckabu,ckabu,0,0,2,12,
kaf,ckafi,441,0,0,0,
ckafi,ckafi,0,0,5,533,
ckaf,ckafi,1,0,0,0,
kai,ckaji,37,2,178,0,246
ckaj,ckaji,0,0,0,0,
ckaji,ckaji,0,0,0,703,
cka,ckana,39,8,5,0,
cap,ckape,12,2,0,0,
ckape,ckape,0,0,8,84,
ckasu,ckasu,4,0,22,32,
cas,ckasu,8,12,0,0,
ckas,ckasu,0,0,0,0,
cke,ckeji,2,0,36,0,
kik,ckiku,25,0,0,0,
ckiku,ckiku,0,0,5,33,
ci'u,ckilu,7,0,9,0,38
ckil,ckilu,0,0,0,0,
ckilu,ckilu,0,0,0,98,
ki'i,ckini,9,2,34,0,26
ckini,ckini,0,0,0,192,
kir,ckire,2,4,0,0,
ckire,ckire,0,0,4,323,
cu'e,ckule,0,0,52,0,
kul,ckule,40,0,0,0,
ckul,ckule,0,0,0,0,
ckule,ckule,0,0,0,377,
ku'u,ckunu,4,0,8,0,
lau,cladu,75,4,53,0,
cladu,cladu,0,0,0,167,
cla,clani,210,1,64,0,
clan,clani,0,0,0,0,
clani,clani,0,0,0,888,
cau,claxu,22,27,288,0,39
clax,claxu,0,0,0,0,
claxu,claxu,0,0,0,305,
clika,clika,0,0,2,39,
lir,clira,24,0,0,0,
clira,clira,0,0,2,93,
clir,clira,0,0,0,0,
clita,clita,0,0,2,0,
clite,clite,0,0,24,56,
lit,clite,18,0,0,0,
li'a,cliva,11,6,75,0,
liv,cliva,27,3,0,0,
cliva,cliva,0,0,3,602,
cup,clupa,29,3,0,0,
clupa,clupa,0,0,11,31,
clup,clupa,0,0,0,0,
cmac,cmaci,19,0,0,0,
cmaci,cmaci,0,0,1,65,
cma,cmalu,431,5,39,0,
cmal,cmalu,0,0,0,0,
cmalu,cmalu,0,0,0,621,
ma'a,cmana,45,0,38,0,
cmana,cmana,0,0,0,180,
ma'o,cmavo,188,0,757,0,
cmav,cmavo,0,0,0,0,
cme,cmene,150,11,207,0,
me'e,cmene,0,0,9,0,112
cmen,cmene,0,0,0,0,
cmene,cmene,0,0,0,1626,
mi'a,cmila,44,0,29,0,
cmil,cmila,0,0,0,0,
cmila,cmila,0,0,0,148,
cmi,cmima,24,83,152,0,
cmima,cmima,0,0,3,852,
mim,cmima,0,0,0,0,
cmive,cmive,0,0,2,0,
cmo,cmoni,20,0,10,0,
na'o,cnano,2,2,6,0,
neb,cnebo,32,0,0,0,
ne'o,cnebo,0,9,6,0,
cnebo,cnebo,0,0,0,49,
ne'u,cnemu,0,0,85,0,
nem,cnemu,2,0,0,0,
cnemu,cnemu,0,0,0,55,
nic,cnici,22,19,0,0,
cnici,cnici,0,0,1,41,
cnic,cnici,0,0,0,0,
nin,cnino,113,29,0,0,
ni'o,cnino,0,0,22,0,
cnin,cnino,0,0,0,0,
cnino,cnino,0,0,0,615,
nis,cnisa,2,0,0,0,
nit,cnita,91,5,0,0,
ni'a,cnita,19,1,6,0,83
cnit,cnita,0,0,0,0,
col,co,0,6,0,0,
co,co,0,0,0,0,
co'a,co'a,34,0,0,0,
com,co'e,22,1,0,0,
co'e,co'e,1,0,2,0,
co'u,co'u,7,6,0,0,
cko,cokcu,5,0,34,0,
coi,condi,112,2,9,0,
cno,condi,26,0,0,0,
con,condi,0,0,0,0,
cro,cortu,31,11,63,0,
cor,cortu,0,0,0,0,
cortu,cortu,0,0,0,101,
cpa,cpacu,26,10,70,0,
cpana,cpana,0,0,5,448,
cpan,cpana,2,0,0,0,
cpare,cpare,2,0,18,153,
par,cpare,5,4,0,0,
cpe,cpedu,23,2,125,0,
cped,cpedu,0,0,0,0,
cpedu,cpedu,0,0,0,331,
cpin,cpina,16,0,0,0,
cpina,cpina,0,0,3,42,
cradi,cradi,0,0,5,28,
crad,cradi,2,0,0,0,
cra,crane,50,7,32,0,
creka,creka,0,0,34,25,
crepu,crepu,0,0,8,10,
rep,crepu,0,7,0,0,
cribe,cribe,0,0,9,416,
rib,cribe,6,0,0,0,
crida,crida,0,0,275,308,
rid,crida,49,0,0,0,
ri'o,crino,15,0,37,0,
crino,crino,2,0,0,174,
crin,crino,0,0,0,0,
rip,cripu,2,4,0,0,
cripu,cripu,0,0,5,34,
cis,crisa,11,11,0,0,
crisa,crisa,0,0,2,57,
critu,critu,0,0,2,34,
ctaru,ctaru,0,0,2,55,
teb,ctebi,3,0,0,0,
ctebi,ctebi,0,0,2,35,
tek,cteki,18,1,0,0,
ce'i,cteki,11,0,8,0,
cteki,cteki,0,0,0,407,
ctil,ctile,3,0,0,0,
ctile,ctile,0,0,2,15,
ti'o,ctino,32,0,9,0,
ctino,ctino,0,0,0,106,
ctu,ctuca,68,0,206,0,
ctuca,ctuca,0,0,0,491,
cuk,cukla,18,4,0,0,
cukla,cukla,0,0,6,55,
cukl,cukla,0,0,0,0,
cuklo,cuklo,0,0,1,0,
cku,cukta,110,30,506,0,
cukta,cukta,0,0,4,1867,
cukt,cukta,0,0,0,0,
clu,culno,19,0,21,0,
culn,culno,0,0,0,0,
culno,culno,0,0,0,211,
cu'i,cumki,6,0,86,0,
cum,cumki,27,7,0,0,
cumki,cumki,0,0,0,672,
cumla,cumla,0,0,8,29,
cul,cumla,4,0,0,0,
cunmi,cunmi,0,0,1,7,
cun,cunso,158,0,0,0,
cu'o,cunso,0,0,5,0,27
cunso,cunso,0,0,1,54,
cu'u,cuntu,41,0,54,0,
pra,cupra,36,0,80,0,
cru,curmi,12,17,157,0,
curmi,curmi,0,0,0,381,
curnu,curnu,0,0,22,42,
cur,curnu,10,0,0,0,
cuv,curve,13,20,0,0,
curve,curve,0,0,3,403,
curv,curve,0,0,0,0,
sku,cusku,155,80,1499,0,
cusku,cusku,0,0,1,8071,
cus,cusku,0,0,0,0,
cuc,cutci,76,5,0,0,
cutci,cutci,0,0,49,420,
cutc,cutci,3,0,0,0,
cut,cutne,24,0,0,0,
cutne,cutne,0,0,1,35,
cu'a,cuxna,1,5,35,0,
cux,cuxna,10,0,0,0,
cuxna,cuxna,0,0,0,220,
dza,da,1,0,40,0,
dav,da,12,0,0,0,
daz,da'a,9,0,0,0,
dacru,dacru,0,0,2,24,
dai,dacti,10,4,47,0,
daj,dadjo,4,0,0,0,
dadjo,dadjo,0,0,1,80,
dak,dakfu,68,47,0,0,
dakfu,dakfu,0,0,57,83,
dakf,dakfu,0,0,0,0,
dakli,dakli,0,0,6,39,
dakl,dakli,1,0,0,0,
da'a,damba,33,13,71,0,
dab,damba,27,0,0,0,
damb,damba,0,0,0,0,
damba,damba,0,0,0,233,
damri,damri,0,0,8,13,
damr,damri,0,0,0,0,
dad,dandu,28,5,0,0,
dandu,dandu,0,0,25,65,
dand,dandu,0,0,0,0,
danfu,danfu,0,0,26,472,
daf,danfu,19,0,0,0,
danf,danfu,0,0,0,0,
dal,danlu,76,5,0,0,
da'u,danlu,0,0,35,0,
danlu,danlu,0,0,0,266,
dam,danmo,26,16,0,0,
danmo,danmo,0,0,24,60,
da'e,danre,7,6,16,0,
danre,danre,0,0,0,36,
dansu,dansu,1,0,29,160,
dans,dansu,1,0,0,0,
dan,danti,33,13,0,0,
danti,danti,0,0,37,67,
dant,danti,0,0,0,0,
plu,daplu,5,30,52,0,
daplu,daplu,0,0,0,14,
dapma,dapma,0,0,53,37,
dap,dapma,25,5,0,0,
dapm,dapma,0,0,0,0,
dag,dargu,11,0,0,0,
dargu,dargu,0,0,3,207,
darg,dargu,0,0,0,0,
dau,darlu,7,2,17,0,
darlu,darlu,0,0,0,171,
dar,darno,47,8,0,0,
da'o,darno,11,0,9,0,
darno,darno,0,0,0,195,
darsi,darsi,0,0,6,24,
dars,darsi,1,0,0,0,
da'i,darxi,9,7,121,0,
dax,darxi,10,4,0,0,
darxi,darxi,0,0,9,348,
dask,daski,17,1,0,0,
daski,daski,0,0,4,54,
das,dasni,7,4,0,0,
dasni,dasni,0,0,4,198,
daspa,daspa,0,0,1,0,
spo,daspo,18,0,73,0,
dasp,daspo,0,0,0,0,
daspo,daspo,0,0,0,84,
sri,dasri,71,4,90,0,
datk,datka,16,0,0,0,
datka,datka,0,0,2,51,
datn,datni,21,2,0,0,
datni,datni,0,0,14,146,
decti,decti,0,0,2,6,
deg,degji,59,16,0,0,
degji,degji,0,0,52,125,
degj,degji,0,0,0,0,
dejni,dejni,0,0,15,12,
dekpu,dekpu,0,0,15,12,
dek,dekto,5,0,0,0,
dekto,dekto,0,0,2,12,
del,delno,3,0,0,0,
de'o,delno,0,0,2,0,
dembi,dembi,0,0,3,166,
den,denci,21,18,0,0,
de'i,denci,0,2,7,0,
dem,denmi,39,11,0,0,
denmi,denmi,0,0,12,98,
dep,denpa,63,0,0,0,
de'a,denpa,11,0,11,0,
denp,denpa,0,0,0,0,
denpa,denpa,0,0,0,412,
der,dertu,49,10,0,0,
de'u,dertu,0,1,33,0,
dertu,dertu,0,0,0,130,
dre,derxi,5,1,72,0,
derxi,derxi,0,0,0,51,
desku,desku,0,0,37,69,
des,desku,9,17,0,0,
desk,desku,0,0,0,0,
det,detri,23,3,0,0,
detri,detri,0,0,5,148,
dir,dicra,12,9,0,0,
dicra,dicra,0,0,15,111,
dicr,dicra,0,0,0,0,
dic,dikca,47,0,0,0,
dikca,dikca,0,0,21,32,
klo,diklo,21,0,47,0,
dik,dikni,246,6,0,0,
dikni,dikni,0,0,15,27,
dilcu,dilcu,0,0,3,0,
dilnu,dilnu,0,0,28,62,
dil,dilnu,16,0,0,0,
diln,dilnu,0,0,0,0,
dimna,dimna,0,0,17,32,
dim,dimna,10,7,0,0,
dimn,dimna,0,0,0,0,
di'u,dinju,16,0,153,0,
dij,dinju,22,0,0,0,
dinj,dinju,0,0,0,0,
dinju,dinju,0,0,0,191,
di'o,dinko,0,0,2,0,
dinma,dinma,0,0,2,0,
dinri,dinri,0,0,3,0,
dib,dirba,60,0,0,0,
dirba,dirba,0,0,1,94,
di'e,dirce,3,0,8,0,
dig,dirgo,12,0,0,0,
