rafsi_or_cmavo	rafsi_or_cmavo_shape	rafsi_or_cmavo_len	gismu	gismu_shape	gismu_pos	as_rafsi_ini	as_rafsi_med	as_rafsi_fin	as_rafsi	percentage_ini	percentage_med	percentage_fin	as_gismu	as_cmavo	gismu:1	gismu_freq
bunre	CACCA	5	bunre	CACCA	1 2 3 4 5	0	0	0	0				153	0	bunre	30.0
bru	CCA	3	burcu	CACCA	1 3 25	73	0	10	83	0.0	0.0	0.0	0	0	burcu	83.0
burna	CACCA	5	burna	CACCA	1 2 3 4 5	0	0	13	13	0.0	0.0	100.0	47	0	burna	25.0
burn	CACC	4	burna	CACCA	1 2 3 4	12	0	0	12	100.0	0.0	0.0	0	0	burna	25.0
caz	CAC	3	ca'a	CAA	1 24 	3	0	0	3	100.0	0.0	0.0	0	0	ca'a	3.0
cab	CAC	3	cabna	CACCA	1 25 3	343	4	0	347	0.0	0.0	0.0	0	0	cabna	357.0
cabna	CACCA	5	cabna	CACCA	1 25 3 4 25	0	0	10	10	0.0	0.0	100.0	271	0	cabna	357.0
cabn	CACC	4	cabna	CACCA	1 25 3 4	0	0	0	0				0	0	cabna	357.0
ca'a	CAA	3	cabra	CACCA	1 25 25	58	4	126	188	0.0	0.0	0.0	0	0	cabra	188.0
cabra	CACCA	5	cabra	CACCA	1 25 3 4 25	0	0	0	0				126	0	cabra	188.0
cacra	CACCA	5	cacra	CACCA	13 25 13 4 25	0	0	22	22	0.0	0.0	100.0	182	0	cacra	31.0
cacr	CACC	4	cacra	CACCA	13 25 13 4	9	0	0	9	100.0	0.0	0.0	0	0	cacra	31.0
dzu	CCA	3	cadzu	CACCA	3 4 5	118	17	138	273	0.0	0.0	0.0	0	0	cadzu	273.0
cadz	CACC	4	cadzu	CACCA	1 2 3 4	0	0	0	0				0	0	cadzu	273.0
cadzu	CACCA	5	cadzu	CACCA	1 2 3 4 5	0	0	0	0				388	0	cadzu	273.0
cafne	CACCA	5	cafne	CACCA	1 2 3 4 5	0	0	16	16	0.0	0.0	100.0	143	0	cafne	29.0
caf	CAC	3	cafne	CACCA	1 2 3	13	0	0	13	100.0	0.0	0.0	0	0	cafne	29.0
cakla	CACCA	5	cakla	CACCA	1 25 3 4 25	0	0	3	3	0.0	0.0	100.0	31	0	cakla	4.0
cakl	CACC	4	cakla	CACCA	1 25 3 4	1	0	0	1	100.0	0.0	0.0	0	0	cakla	4.0
cak	CAC	3	calku	CACCA	1 2 4	14	16	0	30	0.0	0.0	0.0	0	0	calku	51.0
calku	CACCA	5	calku	CACCA	1 2 3 4 5	0	0	21	21	0.0	0.0	100.0	54	0	calku	51.0
calk	CACC	4	calku	CACCA	1 2 3 4	0	0	0	0				0	0	calku	51.0
